case_name,task_source,chain,fork_block_number,target_contract_address,evm_version,case_id,incident_date,incident_name,mechanism_raw,incident_contract_path,incident_chain,source_url,source_status,source_snapshot_sha256,incident_record_sha256,incident_reference_urls,incident_tx_hashes,incident_loss_text,match_method,incident_metadata_present,benchmark_fork_anchor_present,deployment_block,prediction_cutoff_block,incident_block_or_time,source_availability_time,runtime_bytecode_hash_at_cutoff,outcome_adjudication_id,temporal_certification,admissibility_reason_codes,exact_identity_key,exact_identity_group,runtime_code_group,metadata_stripped_code_group,proxy_type,implementation_at_cutoff,proxy_lineage_status
spartan,defihacklabs,bsc,7048832,0x3de669c4f1f167a8afbc9993e4753b84b576426f,shanghai,ca2-f655d6375b3979edab38,2021-05-02,Spartan,Logic Flaw,src/test/2021-05/Spartan_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,1e131cb812e4acd651d55f9cefaae8ca2216a72785cadcbd19e7d66491a453f6,"[""https://rekt.news/spartan-rekt/""]",[],,exact_contract_basename,True,True,,,2021-05-02,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0x3de669c4f1f167a8afbc9993e4753b84b576426f,75f128ffc022170cacc3,,,,,not_resolved_requires_archive_rpc
dodo_flashloan,defihacklabs,ethereum,12000000,0x051ebd717311350f1684f89335bed4abd083a2b6,shanghai,ca2-61c7c0bc0fd854fd8541,2021-03-08,DODO,Flashloan Attack,src/test/2021-03/dodo_flashloan_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,e74bcf9627e666abcc1dd105229c09bd34d85b635197b7580cedb3c48eed0246,"[""https://blog.dodoex.io/dodo-pool-incident-postmortem-with-a-little-help-from-our-friends-327e66872d42"", ""https://etherscan.io/tx/0x395675b56370a9f5fe8b32badfa80043f5291443bd6c8273900476880fb5221e"", ""https://halborn.com/explained-the-dodo-dex-hack-march-2021/""]","[""0x395675b56370a9f5fe8b32badfa80043f5291443bd6c8273900476880fb5221e""]",,exact_contract_basename,True,True,,,2021-03-08,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x051ebd717311350f1684f89335bed4abd083a2b6,a1566e1c91a5ad98e5c4,,,,,not_resolved_requires_archive_rpc
pancakebunny,defihacklabs,bsc,7556330,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,shanghai,ca2-7c6082cada48d720f171,2021-05-19,PancakeBunny,Price Oracle Manipulation,src/test/2021-05/PancakeBunny_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,baf63791a4277f87d91ddc0567f2b55ffda4a381f3294e1a8b8b6b891a7836ff,"[""https://bscscan.com/tx/0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979"", ""https://rekt.news/pancakebunny-rekt/""]","[""0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979""]",,exact_contract_basename,True,True,,,2021-05-19,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,9550b904ae105f881074,,,,,not_resolved_requires_archive_rpc
burgerswap,defihacklabs,bsc,7781159,0x7ac55ac530f2c29659573bde0700c6758d69e677,shanghai,ca2-28489e4d5123e702b7a8,2021-05-27,BurgerSwap,Mathematical flaw + Reentrancy,src/test/2021-05/BurgerSwap_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,63e826cb9881b371ac3674c38a3a8b812dbb7807ef3c75978eb8b6e3dd255630,"[""https://twitter.com/Mudit__Gupta/status/1398156036574306304""]",[],,exact_contract_basename,True,True,,,2021-05-27,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0x7ac55ac530f2c29659573bde0700c6758d69e677,302316782cc995c92ffb,,,,,not_resolved_requires_archive_rpc
88mph,defihacklabs,ethereum,12516705,0xf0b7de03134857391d8d43ed48e20edf21461097,shanghai,ca2-c9c1817a98610ef26f01,2021-06-07,88mph NFT,Access control,src/test/2021-06/88mph_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,4451139dfa098f690604a55207330189bd34c454b39867257c40110ef5f8f71a,"[""https://medium.com/immunefi/88mph-function-initialization-bug-fix-postmortem-c3a2282894d3""]",[],,exact_contract_basename,True,True,,,2021-06-07,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xf0b7de03134857391d8d43ed48e20edf21461097,33b74a7fe9340ed1f090,,,,,not_resolved_requires_archive_rpc
eleven,defihacklabs,bsc,8530973,0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,shanghai,ca2-411b50fea47298d98579,2021-06-22,Eleven Finance,Doesn’t burn shares,src/test/2021-06/Eleven_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,5ffd3ed363cfbe0e373320610197f27c34e430107e5366516a6dfb3ca245b549,"[""https://bscscan.com/tx/0xeaaa8f4d33b1035a790f0d7c4eb6e38db7d6d3b580e0bbc9ba39a9d6b80dd250"", ""https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76""]","[""0xeaaa8f4d33b1035a790f0d7c4eb6e38db7d6d3b580e0bbc9ba39a9d6b80dd250""]",,exact_contract_basename,True,True,,,2021-06-22,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,ef8dfedc5ab911fe01a5,,,,,not_resolved_requires_archive_rpc
xwin,defihacklabs,bsc,8589725,0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,shanghai,ca2-42dc2e766a267767f0d8,2021-06-25,xWin Finance,subscription-incentive-mechanism,src/test/2021-06/xWin_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,9aa89bc4c360d07aa0711f47b8f5b59db465dc22d8f306bc5315b5977a993395,"[""https://peckshield.medium.com/xwin-finance-incident-root-cause-analysis-71d0820e6bc1""]",[],~$300k,exact_contract_basename,True,True,,,2021-06-25,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,c8c0ef4a0c3d96096454,,,,,not_resolved_requires_archive_rpc
cream,defihacklabs,ethereum,13125070,0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,shanghai,ca2-8c56561fae063cde5971,2021-08-30,Cream Finance,Flashloan Attack + Reentrancy,src/test/2021-08/Cream_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,7eb8399ca0ec2a1f3c1f751a139eb23c890e45ed189ed42cb86f3c8e2e987194,"[""https://etherscan.io/tx/0xa9a1b8ea288eb9ad315088f17f7c7386b9989c95b4d13c81b69d5ddad7ffe61e"", ""https://twitter.com/creamdotfinance/status/1432249773575208964"", ""https://twitter.com/peckshield/status/1432249600002478081""]","[""0xa9a1b8ea288eb9ad315088f17f7c7386b9989c95b4d13c81b69d5ddad7ffe61e""]",,exact_contract_basename,True,True,,,2021-08-30,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,7476335bebaef9ddf437,,,,,not_resolved_requires_archive_rpc
xsurge,defihacklabs,bsc,10087723,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,shanghai,ca2-f4c153bbeb9c3fff7e54,2021-08-17,XSURGE,Flashloan Attack + Reentrancy,src/test/2021-08/XSURGE_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,4f6037b245cd4ce4e5c660dce57cef491cd19921f8610fd9948f5b496bf6d1aa,"[""https://beosin.medium.com/a-sweet-blow-fb0a5e08657d"", ""https://bscscan.com/tx/0x8c93d6e5d6b3ec7478b4195123a696dbc82a3441be090e048fe4b33a242ef09d"", ""https://medium.com/@Knownsec_Blockchain_Lab/knownsec-blockchain-lab-comprehensive-analysis-of-xsurge-attacks-c83d238fbc55""]","[""0x8c93d6e5d6b3ec7478b4195123a696dbc82a3441be090e048fe4b33a242ef09d""]",,exact_contract_basename,True,True,,,2021-08-17,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,470469da9a689c235dcd,,,,,not_resolved_requires_archive_rpc
nowswap,defihacklabs,ethereum,13225516,0xa0ff0e694275023f4986dc3ca12a6eb5d6056c62,shanghai,ca2-bef4fd38f1af5d45d83a,2021-09-15,NowSwap Platform,Incorrect calculation,src/test/2021-09/NowSwap_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,1cf9f8da8125f234890449362de85fb1b390e41dc8287302242423b36ef935f7,"[""https://twitter.com/BlockSecTeam/status/1438100688215560192""]",[],,exact_contract_basename,True,True,,,2021-09-15,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xa0ff0e694275023f4986dc3ca12a6eb5d6056c62,a47821aabbeb7691cec8,,,,,not_resolved_requires_archive_rpc
nimbus,defihacklabs,ethereum,13225516,0xc0a6b8c534fad86df8fa1abb17084a70f86eddc1,shanghai,ca2-54094307591338d2b28a,2021-09-15,Nimbus Platform,Incorrect calculation,src/test/2021-09/Nimbus_exp.sol,mainnet,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,360fd55e367d0f5ee34eca04acb003298f83f95c9fda4d4098810ae84a16d73e,"[""https://twitter.com/BlockSecTeam/status/1438100688215560192""]",[],,exact_contract_basename,True,True,,,2021-09-15,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0xc0a6b8c534fad86df8fa1abb17084a70f86eddc1,3b4fb2c50f38fa162893,,,,,not_resolved_requires_archive_rpc
waultfinance,defihacklabs,bsc,9728755,0xa79fe386b88fbee6e492eeb76ec48517d1ec759a,shanghai,ca2-69618eefef4fa57c795c,2021-08-04,WaultFinace,FlashLoan price manipulation,src/test/2021-08/WaultFinance_exp.sol,bsc,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,320f1be574bb2e5f6bf78c522759e7164148a5238854b7e77a70674f85db1070,"[""https://inspexco.medium.com/wault-finance-incident-analysis-wex-price-manipulation-using-wusdmaster-contract-c344be3ed376"", ""https://medium.com/@Knownsec_Blockchain_Lab/wault-finance-flash-loan-security-incident-analysis-368a2e1ebb5b""]",[],,exact_contract_basename,True,True,,,2021-08-04,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",bsc:0xa79fe386b88fbee6e492eeb76ec48517d1ec759a,67b43a39e2be95f98689,,,,,not_resolved_requires_archive_rpc
sushimiso,defihacklabs,ethereum,13038771,0x4c4564a1fe775d97297f9e3dc2e762e0ed5dda0e,shanghai,ca2-cc76e9ac975f3c46bb14,2021-09-16,SushiSwap Miso,Insufficient validation,src/test/2021-09/Sushimiso_exp.sol,ethereum,https://github.com/SunWeb3Sec/DeFiHackLabs/blob/main/past/2021/README.md,frozen_public_source_hashed,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,4103dc779de5b388c14c86f7e5dcfef58c7ceaabecac89af2dec0cd05f5b1415,"[""https://etherscan.io/tx/0x78d6355703507f88f2090eb780d245b0ab26bf470eabdb004761cedf3b1cda44"", ""https://www.paradigm.xyz/2021/08/two-rights-might-make-a-wrong""]","[""0x78d6355703507f88f2090eb780d245b0ab26bf470eabdb004761cedf3b1cda44""]",,exact_contract_basename,True,True,,,2021-09-16,,,,blocked_missing_onchain_and_availability_evidence,"[""missing:deployment_block"", ""missing:prediction_cutoff_block"", ""missing:source_availability_time"", ""missing:runtime_bytecode_hash_at_cutoff"", ""missing:outcome_adjudication_id""]",ethereum:0x4c4564a1fe775d97297f9e3dc2e762e0ed5dda0e,6b752ea49878c37c668d,,,,,not_resolved_requires_archive_rpc
