case_name,chain,positive_deployment_time,positive_prediction_cutoff_time,positive_record_sha256,admissible_deployment_start,admissible_deployment_end,existing_pair_count,maximum_flow_allocated,controls_required,minimum_additional_distinct_slots,require_new_chain_address_identity,require_deployed_by_positive_cutoff,require_pair_specific_cutoff_covariates,expansion_status,selection_authorized,expansion_requirement_sha256
DEXRouter,bsc,2021-07-15T13:36:57Z,2021-07-16T13:36:58Z,48ad2d5312ed9f6fdd72e85ebb695782651a1ceaddda708dd4196cd78a8d56c5,2021-06-15T13:36:57Z,2021-07-16T13:36:58Z,18,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,9663009c297db2c77ca5d0649335b19c410b22e2179362494af838d553825784
DLMC,bsc,2026-04-27T13:18:52Z,2026-04-28T13:18:52Z,5a4093c2b1cc9ed99a4a1cc883508ce0c3835d8ac92d42826abf427d63b536f6,2026-03-28T13:18:52Z,2026-04-28T13:18:52Z,7,7,10,3,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,d876e38d3bb3acad5300fbb6ca1dd0267f5f114e2dc7690cc88053da07d02ce9
DogeAlliance,bsc,2021-11-02T07:41:46Z,2021-11-03T07:41:46Z,08d999ddbcb67ad857d2306ec6db7d6e1ee062a3b3c550dab33c7a7e234add48,2021-10-03T07:41:46Z,2021-11-03T07:41:46Z,18,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,93ff807023d6c8153a05a6e61f6fd34650f97d95a414f8cae0a5258aebead943
Dumbo,bsc,2022-01-20T12:58:07Z,2022-01-21T12:58:09Z,5cfb02362fdb4a974a62bddd6cee6a527df6c648ae9f03834fa00e4574a28d46,2021-12-21T12:58:07Z,2022-01-21T12:58:09Z,29,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,1906e884d49387e6efe1d8ba5e23033efd891bc236008469d4da27273506bb30
FlyLong,bsc,2023-11-28T19:17:34Z,2023-11-29T19:17:34Z,183ad10d95bba0e43a39bce45c4cf288e8ef1a830d201a6df0002988523dd6a1,2023-10-29T19:17:34Z,2023-11-29T19:17:34Z,9,9,10,1,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,2913ef531ed5f17ba309808b15fbced32f90847f739a4bb50f2e445a60258673
GMT7,bsc,2025-02-07T12:45:18Z,2025-02-08T12:45:18Z,9ffb7fd94a47df6fca54d3cab65a625a61c230ea31c2c316e06c68229de494c6,2025-01-08T12:45:18Z,2025-02-08T12:45:18Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,4b95e64a50f5cbcf3270f1f7e59a7a6e4b4e0d35481f885553c731a952f8ea72
GiddyVaultV3,ethereum,2026-04-20T22:05:11Z,2026-04-21T22:05:11Z,4d33eef3b7210a17a13866aefc5356a637f21d8754b856403de7baea758bd793,2026-03-21T22:05:11Z,2026-04-21T22:05:11Z,89,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,52a9e1ef1c743b9f0dc070ad73a4ce700c320eafe58e01d594804bc26322fa80
GoldReserve,bsc,2024-12-27T15:13:06Z,2024-12-28T15:13:07Z,8636307993b1f4081e9430a1a0ac904ef6be8b7c04caf3ad4cecbc6e267212d3,2024-11-27T15:13:06Z,2024-12-28T15:13:07Z,1,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,4210fe0ef8995ada53203d2ae2b2c43ab077ff8361a959ec10ed10bc87691728
HORS,bsc,2021-05-12T02:56:01Z,2021-05-13T02:56:01Z,30b7cc594e6a84d1e17a2b59e70e6e1f6f8c153c59acfc852da19a6a4d114b22,2021-04-12T02:56:01Z,2021-05-13T02:56:01Z,7,6,10,4,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,51e999929d22d8b8282c2a192a672d83e9fef4edd5857906425550efa4f0cb62
HoldSafe,bsc,2025-03-14T16:16:22Z,2025-03-15T16:16:22Z,787b1b93ea90662135e33f33fce86b1e0eb3ff99698c01f615ebe62d7db09a68,2025-02-12T16:16:22Z,2025-03-15T16:16:22Z,2,2,10,8,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,dc97141a0fb07c986557a7454908e6c994b6ef3fd72a743f70a6cb738df68226
JUDAO,bsc,2026-01-17T00:52:05Z,2026-01-18T00:52:05Z,1b0029312f1022002e01c697115348c4bcdee56bf4f43f2eb01c8f1b5648b60a,2025-12-18T00:52:05Z,2026-01-18T00:52:05Z,8,8,10,2,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,ad431b97e39a69061ace6197378b01dc8697fc62ab03bd8a94628359c1f63b47
JuiceboxREVLoans,ethereum,2025-09-12T11:39:47Z,2025-09-13T11:39:47Z,d8a0bfcedc40340ab2cdf5e0a95bda9d646ac9511900f76db60d1b5fd4b61989,2025-08-13T11:39:47Z,2025-09-13T11:39:47Z,64,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,e2161f11c6e88a21e2181bf817b7dab72faa12606fe66dd0cfe595b3faa85eca
LBP,bsc,2026-05-07T01:57:51Z,2026-05-08T01:57:51Z,20a66a1b2c8b714879f5f06f6114ced2026e9e218e34403b84f453d5965019a3,2026-04-07T01:57:51Z,2026-05-08T01:57:51Z,13,9,10,1,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,aac42dfcc1b07d4d7caa488df9b154ec67f1935014907d70c97fd2b0185d25b5
LeverageSIR,ethereum,2025-02-20T15:32:59Z,2025-02-21T15:32:59Z,0f542ebcf037052e08eb65cf03fe5dd93333c897336477a9fdecd74d4dc3cfd0,2025-01-21T15:32:59Z,2025-02-21T15:32:59Z,23,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,1ccfd666c8ba3fc725a4b9cf18b4ce59ba9566d7346d3d843341a4ccee497def
MEVBOTa47b,ethereum,2022-04-01T10:59:44Z,2022-04-02T10:59:44Z,c565bd157bd7a51498b337bd32c27d4e1315105be27e3fb1e5b6dc5bdf3c5945,2022-03-02T10:59:44Z,2022-04-02T10:59:44Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,7d90b3ff4a890fa7a4b3442a6445703ed0f76958c2a4ab203ce1f3362a40bd1c
MEV_0ad8,ethereum,2020-05-07T04:25:30Z,2020-05-08T04:25:53Z,b466f693c43ce601afcabdf3e36cfc20ccca5634264a2689863ec67636127b89,2020-04-07T04:25:30Z,2020-05-08T04:25:53Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,06c0ffc7d7c84847ee925b385bbd60ddafd0782805037175c7ac351bf9cdaf3f
MFT,bsc,2024-11-10T05:45:59Z,2024-11-11T05:46:00Z,035a5ad4c06e35e009d600e1896f341cc263e6ef3fc1ca6e40a9b098fbd4e174,2024-10-11T05:45:59Z,2024-11-11T05:46:00Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,443eb29ce5e659dd0af5d800cc0a93bee9fb69920e5ddc8e014ed74c5de8c9d3
MicDao,bsc,2023-10-07T02:28:33Z,2023-10-08T02:28:34Z,4008f85e84c68de3fcd917467fafb06274b9c8b47787e74daade81e474423daa,2023-09-07T02:28:33Z,2023-10-08T02:28:34Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,5fbf1916b47d547b4a25672e4dfea0164359d30dccae4a0ff68d9323dd5807b8
MyCoinMaster,bsc,2025-07-25T10:26:41Z,2025-07-26T10:26:41Z,d7318be3b99447ab2609b19de402197cc9805c55a716e6300d652a2866a1cb07,2025-06-25T10:26:41Z,2025-07-26T10:26:41Z,4,4,10,6,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,e965b1d992e0a764c5072e0be82f1c85956bd95e6c5137b7f8365e7a03bdf851
NFTG,bsc,2024-06-23T10:25:40Z,2024-06-24T10:25:42Z,c77e7bab938efd3f6dbb9fdd1816ebaea4ca19a913372399d234b3c62582aa5e,2024-05-24T10:25:40Z,2024-06-24T10:25:42Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,19f132db579ae58398dccec51cb1bbaa6bb32606359ec65aefdac001bb08ad9a
NGP,bsc,2025-09-08T01:47:01Z,2025-09-09T01:47:01Z,0dedbd41dd3950494c0953e493a3a98942239d7960c35cd3fe28f9b5d00d1cd4,2025-08-09T01:47:01Z,2025-09-09T01:47:01Z,6,6,10,4,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,d847f9208856ddfd57f304fa07e792f59dcc9ad0fbfc49071aa42eda2170df27
ODOS,base,2024-12-30T02:07:57Z,2024-12-31T02:07:57Z,7bb61ab16d2c595789d20cd6b6bfd4d7761e1bffe3dbee2dc1f3cfcaa1ab39d8,2024-11-30T02:07:57Z,2024-12-31T02:07:57Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,560629e1a8ef0be0c45b051e8a4948801c9392a7495d2f79e1b1666e3f35665b
P719Token,bsc,2024-10-09T12:15:26Z,2024-10-10T12:15:26Z,24caf01fe1b831cfb8015fd00d0b30b6e9dedb9afd227644d28589acc32ddad1,2024-09-09T12:15:26Z,2024-10-10T12:15:26Z,10,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,36d53ce2572a9021daf8f196eebbbce00f66375cb60704ef4b0ea4b516346a51
PegaBall,ethereum,2024-01-14T06:09:11Z,2024-01-15T06:09:11Z,c3b10ce68f04b7f0ae44afbf7f9ebe99b04310fd93ad58db36f16f4a61103ed1,2023-12-15T06:09:11Z,2024-01-15T06:09:11Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,50b7a34be49517becc3076052e288353c79dc8de97d8e76612bf70cc6e5052ab
Proxy_b7e1,bsc,2024-11-12T18:19:55Z,2024-11-13T18:19:56Z,43b6c286345753b5e09eb676dd91db05863fab37acff18044235b04e36664591,2024-10-13T18:19:55Z,2024-11-13T18:19:56Z,4,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,b2aea3d29d6e8b9ee1504dcc725680f5febeda4a102c8997a54caef00f62a751
RICE,base,2025-03-13T05:33:51Z,2025-03-14T05:33:51Z,70a04a6da54c501501ba51b860b7b87334a174fb676b51d38f158f1eaef3f578,2025-02-11T05:33:51Z,2025-03-14T05:33:51Z,2,2,10,8,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,74577a965ce2d4dd0a132d3643abfea816840f0d17cab168b6bbbc64513c3240
RWAVault,ethereum,2026-02-04T04:32:59Z,2026-02-05T04:32:59Z,b391eb08d3b7599277f02e64e8bd351bdf22cf3eff23fdb66f52135bd2b4b962,2026-01-05T04:32:59Z,2026-02-05T04:32:59Z,91,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,e31db03231e1476f217aec43278bf21f1053a2b1a9591c1d426c449966daaa9c
Scorch,ethereum,2023-09-02T18:37:35Z,2023-09-03T18:37:35Z,ab84538f2dc364d902d02a395249dbd5fc179f38934b9ce8c4d0d2025eb7be04,2023-08-03T18:37:35Z,2023-09-03T18:37:35Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,5c6400b23647b80cd8eb03ced57301c485cc625e382a8a3c0c359d921cb0f673
SinstakeZombie,bsc,2021-06-08T21:38:54Z,2021-06-09T21:38:56Z,d882b7b4b6cabb286f79b1f2582fdeab5445b9fb2a2912dbb92eb03298c6d453,2021-05-09T21:38:54Z,2021-06-09T21:38:56Z,18,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,fd2c0e070d053ebe597952cf3856491ff18f1138e23dc1dec5b2568dfcc29961
SlurpyCoin,bsc,2021-06-25T01:52:38Z,2021-06-26T01:52:39Z,a1e9edee762eb0ca2d022aaef1026eecad1ee04fdef33204ace3d73b27d55909,2021-05-26T01:52:38Z,2021-06-26T01:52:39Z,29,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,4fe16024c4e8e34fe8994c284305a6d996bbcd3d0d59557d470a37dfa068a92a
SmartMesh,ethereum,2017-12-09T08:21:53Z,2017-12-10T08:22:08Z,1bc27cebfddc920028b1b3705e848c1ebc252829898dcc9eb43d418b160483b2,2017-11-09T08:21:53Z,2017-12-10T08:22:08Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,a7de35805a33a9e1bf21144067f8d62e830cc89b8e76e50294c92f5e78d8e0e8
StakeOnMe,ethereum,2020-04-27T04:21:48Z,2020-04-28T04:21:58Z,bbab4891e5b8b390c9250d9351aa257d6d014a0a467c8b4a1f3897f335136a93,2020-03-28T04:21:48Z,2020-04-28T04:21:58Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,5d278f7d787362dbcea9430eb59f44fd56c381207265840d589c4334c579c277
StepHeroNFTs,bsc,2021-08-31T08:03:50Z,2021-09-01T08:03:50Z,f508bbe7bd3ea80368a5d92385f6c6d4679e1de6adb0a7b05954d11e96be0bb6,2021-08-01T08:03:50Z,2021-09-01T08:03:50Z,17,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,87a7a34618866f239ec2a45ff1451f9efe9d8cd61c30615904a335c2de3f100d
StrategyLlamaLendConvex,ethereum,2025-05-07T19:04:47Z,2025-05-08T19:04:47Z,898226a388914458e6ebc798e9174cbc534f6c724df949889edb7eccf13b1674,2025-04-07T19:04:47Z,2025-05-08T19:04:47Z,67,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,8f52a0d5a3e0857c1f512b09453cebea205018c892d31574fa1ecc11b5732be1
TSAggregatorGeneric,bsc,2023-06-04T17:07:57Z,2023-06-05T17:07:58Z,0bbcdca621211de36fa0d3eef216cd82b148da5ad9ed3f02eb9dcd47e3ec533e,2023-05-05T17:07:57Z,2023-06-05T17:07:58Z,17,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,f328bd81ba22362cb1ab1a04a05b909a51eed03f4bcb21a5d46d090282679fdf
TokenFactory,bsc,2024-09-25T08:58:50Z,2024-09-26T08:58:52Z,41876c86cb0e7b1bd8c835e9808bddbc890745f812de5849eb04cbbfef6c1275,2024-08-26T08:58:50Z,2024-09-26T08:58:52Z,4,2,10,8,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,b9798ca0912ea683e2251222e2039ad483106b51036608f48cb098a56f6589ee
Transit Swap,bsc,2021-10-22T06:54:44Z,2021-10-23T06:54:46Z,b02fe3e929f830eafa0b3a95be0fa3b733e0c39eea2449e2610b255b32eec06e,2021-09-22T06:54:44Z,2021-10-23T06:54:46Z,15,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,3c5773284b0e00f3252c9749e084a8e0ce2fca0389e8f4208683ddcc2b736c99
Unverified6883,ethereum,2022-09-14T08:54:16Z,2022-09-15T08:54:23Z,bb7ca01e8348873c15ab46e46d0f7d25ba0dc9671f189404e16482e7605c2179,2022-08-15T08:54:16Z,2022-09-15T08:54:23Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,361c94861cf6727466721d040c9e298882a2632eb2b8e6351fe1825d44d7c503
Unverified_0000,bsc,2025-05-12T19:54:09Z,2025-05-13T19:54:09Z,1e7ad5eef6b6850930584bbc0af3eae6bfcb92aa6d22c7427ca1ccec48b0c7d8,2025-04-12T19:54:09Z,2025-05-13T19:54:09Z,2,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,e0d8efde6e921e54333178cac8727c5566f8e0026e1edd65c8a33fe12deca232
VDS,bsc,2025-07-02T12:22:23Z,2025-07-03T12:22:23Z,a5154c9209ef128172f73b7fc426cd2462c45f6f63fe0749f52f4309d2324f2c,2025-06-02T12:22:23Z,2025-07-03T12:22:23Z,3,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,094876ea226567301a585fcc61c351488819efbdc0ec2cb3e0b2ad548464668c
WHALE,bsc,2026-05-26T16:20:45Z,2026-05-27T16:20:45Z,8d9063f6c8a003665372ace597c2ba6fa7710bbe920eb1699960a86f75b3449a,2026-04-26T16:20:45Z,2026-05-27T16:20:45Z,30,10,10,0,True,True,True,NO_DEPLOYMENT_SCOPE_DEFICIT,False,5ff4e03e3fee5f4b6169af61cd275c0435b34dbf99e9f5bf36fa3a1bf89f6cf0
WXC,bsc,2025-08-01T03:59:53Z,2025-08-02T03:59:53Z,aea88dba760c58af7e67d384253b780bb25848c6398d93e4cc67dec5bfa2b04c,2025-07-02T03:59:53Z,2025-08-02T03:59:53Z,6,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,814e785d654a289a2c82aa41a9482bd7ff0eb5101ee2ee7e3d3e77ce3c78056a
WXETA,bsc,2024-03-13T00:21:55Z,2024-03-14T00:21:56Z,269a2491fb5d0954e2a545917d3dc8b028225f6f03c9b101a8e372fe6f198e2d,2024-02-12T00:21:55Z,2024-03-14T00:21:56Z,3,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,e8189726b45d184480cfb3463c3dada4a578664f1c668979d9c965962bc1ae94
XLootStaking,ethereum,2023-12-21T11:58:47Z,2023-12-22T11:58:47Z,3b298016551a590da1209c9236f4b5b92f1aac23d72a59551fe000fd7a9c5646,2023-11-21T11:58:47Z,2023-12-22T11:58:47Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,b00c06f9933fbdd7e020cfbef861a886c749a0972f7f80c793f85e96ff7b810a
ZeroExSettler,ethereum,2025-01-31T02:26:23Z,2025-02-01T02:26:23Z,696fa8e29b2d1cef0edad69bda84017a4563c646b5c81e8a81620300c09b32fb,2025-01-01T02:26:23Z,2025-02-01T02:26:23Z,1,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,bff0b666eb0c20e291d2d7f133bb3bb22bfde3fd0ce000d8036cf655f9f56f4e
aave_boost,ethereum,2022-02-15T10:49:38Z,2022-02-16T10:49:51Z,108da55c855bd37e1c9d8fb3abb32e6162175ca8534a4a40dfd4b1e9a1de4225,2022-01-16T10:49:38Z,2022-02-16T10:49:51Z,1,1,10,9,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,3ec6ca40ca7d349156267d2c2a489e34394c2702633c42ec9edea34b309b7364
adc,ethereum,2020-05-16T01:31:35Z,2020-05-17T01:31:41Z,8be7667507f8ddfc44cc5be5dc0540fbbe6ac6d7f3ea9987cfb60b94ce73740e,2020-04-16T01:31:35Z,2020-05-17T01:31:41Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,9ac5e2f98e248b5449d5a1dbf62652129499090f27005bf0890e5d29b91d20cb
affinedefi,ethereum,2023-12-02T10:04:11Z,2023-12-03T10:04:11Z,d895c49a72d7b3950bc33703983772f8ca88df7e9203878339dbf981e90fd460,2023-11-02T10:04:11Z,2023-12-03T10:04:11Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,5ca184ba571078f265475cb8fd1079db61357b2fed39501b77aad56231d24ff2
ais,bsc,2023-11-22T07:09:58Z,2023-11-23T07:10:00Z,b57534a13751b9535bc85e64f2cd0525955316639efdcabc58fa8b34b5b391f2,2023-10-23T07:09:58Z,2023-11-23T07:10:00Z,8,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,1746a4caea6572793df04e4ebb6f5e19b129ef5dca18a87defd6d81edfe83dac
aizpttoken,bsc,2024-07-28T14:46:36Z,2024-07-29T14:46:37Z,fc2e5668df997f7de97e83375ab2a455bf7fef69ac95cc64fcce752fca61a8d3,2024-06-28T14:46:36Z,2024-07-29T14:46:37Z,5,5,10,5,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,9475861eee799376580982799fda8cb091b813635cc2eb3670460c471f5b1b92
alkemi_earn,ethereum,2021-09-07T18:41:12Z,2021-09-08T18:41:12Z,399b07ebedf4b1d53bc6c4b45a74ab88d1a5bd908b897dcea52013ec87976ebe,2021-08-08T18:41:12Z,2021-09-08T18:41:12Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,bb4937bf5316e10c5bc1519de1f1f4be1529cd0af088a2b110a32d821f81d434
alkimiya_io,ethereum,2024-07-14T20:09:23Z,2024-07-15T20:09:23Z,b4e32f6d9de42af32f5fc5fd42bdfe1461cbb833b2302d1e4f97de2b40b8feb9,2024-06-14T20:09:23Z,2024-07-15T20:09:23Z,0,0,10,10,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,fdf0014be972187c64a435ac4f5ea6ec503752cbf137ed8a3f9b01ed94ea9cd9
allbridge,bsc,2022-08-25T14:11:03Z,2022-08-26T14:11:05Z,d53876399fb32ce48924ec8da5206ad671faa3449faadc842652285067013e8d,2022-07-26T14:11:03Z,2022-08-26T14:11:05Z,7,7,10,3,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,876c21264d5e5148d8536c5c2a5a1dd55d26fd4a3562a3a987569a94062f81e9
allbridge_2,bsc,2022-09-04T09:26:43Z,2022-09-05T09:26:45Z,94cc4f1dca8ff74515e2b8308ff71b71463a7b7f61edb10a55ac860c00145ae7,2022-08-05T09:26:43Z,2022-09-05T09:26:45Z,7,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,cd042f1b9ac33be0a8509ac62f5c6801682f417191c9252f0ac56cddd0aeb12f
alp,bsc,2023-12-19T03:01:30Z,2023-12-20T03:01:30Z,5381c461c509b378dc4ed9cc87ed4e70248dc39687ad74af5bf5fb7bc6f844df,2023-11-19T03:01:30Z,2023-12-20T03:01:30Z,7,3,10,7,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,98c716a211db2f0a8b2aaa16c71ef99106b04ee67a61b61b9fab13810be617e5
anch,bsc,2022-07-22T07:42:43Z,2022-07-23T07:42:43Z,0e81c2d49678a96dba1b60ad9cc24d94a660e94507e038e00186adbdb65373d1,2022-06-22T07:42:43Z,2022-07-23T07:42:43Z,17,9,10,1,True,True,True,HISTORICAL_DENOMINATOR_EXPANSION_REQUIRED,False,85d8bc4cca523b4d6ece872b854219c6b9c5feae261bda0efe96929cebc70a24
