case_name,chain,target_contract_address,fork_block_number,required_queries,address,incident_block,prediction_cutoff_block,deployment_block,cutoff_status,proxy_hint,case_id,age_stratum,pilot_hash,pilot_member,priority,pilot_allocation_expected,pilot_allocation_selected,allocation_satisfied,input_sha256,policy_sha256,queue_sha256
futureswap,arbitrum,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf7ca7384cc6619866749955065f17bedd3ed80bc,419829770,,,PARTIAL,True,ca2-40ca8a9aca77ecfbfe71,0,a35309fcc63b8c809fc0ad04eb2a7b874191a5d247fd50a9a4d43423e16b0041,True,0,2,1,False,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
babydogecoin,bsc,0xc748673057861a797275cd8a068abb95a902e8de,28593354,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc748673057861a797275cd8a068abb95a902e8de,28593354,,,PARTIAL,True,ca2-1a73db8dcf62dc8e4419,1,000f397b7396a24e5a806f834f3a00042d364beecd43b23efa7eabc38b4a3e90,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
stepp2p,bsc,0x99855380e5f48db0a6babeae312b80885a816dce,54653986,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x99855380e5f48db0a6babeae312b80885a816dce,54653986,,,PARTIAL,True,ca2-ca16a95de7b24c723e35,3,006da599c817ec2c351f04814438442a46821ce478138ea0c519e437f1aec9a0,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
bfctoken,bsc,0x595eac4a0ce9b7175a99094680fbe55a774b5464,31599443,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x595eac4a0ce9b7175a99094680fbe55a774b5464,31599443,,,PARTIAL,True,ca2-5aa3d29494fdde461d33,2,00c5a761f67b320ce3030f8bcaa8144500dc35c8824b0968a146ce19bf1ec1a7,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
binemon,bsc,0xe56842ed550ff2794f010738554db45e60730371,36864394,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xe56842ed550ff2794f010738554db45e60730371,36864394,,,PARTIAL,True,ca2-adacb53105e39eebae4d,2,00c79a4c6acb525bdb320e045fdc4e236500cab8fd2d453fe08a791be56ab1d4,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
j_pulsepot,bsc,0x384b9fb6e42dab87f3023d87ea1575499a69998e,45640245,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x384b9fb6e42dab87f3023d87ea1575499a69998e,45640245,,,PARTIAL,True,ca2-bc3880c8e3766b6a9ca4,3,0135a1f83ba060aefde06eacda0ac57df4fd1d84dad03eaf720cdbff5b5947a2,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
ast,bsc,0xc10e0319337c7f83342424df72e73a70a29579b2,45964639,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc10e0319337c7f83342424df72e73a70a29579b2,45964639,,,PARTIAL,True,ca2-f869139a8dcac0542bd9,3,0530112f9d49313120f301fdbfc3ca2c3fc02d0a4e47ae630b4974b9113eee4c,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
palmswap,bsc,0xd990094a611c3de34664dd3664ebf979a1230fc1,30248637,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xd990094a611c3de34664dd3664ebf979a1230fc1,30248637,,,PARTIAL,True,ca2-0bc1321f2d440dbae4b1,2,05a10d25d1603e3c3f75ff04762553c687d9db13d7ef5b0a751e56e7c7d1e243,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
shibatoken,bsc,0x13b1f2e227ca6f8e08ac80368fd637f5084f10a5,33528882,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x13b1f2e227ca6f8e08ac80368fd637f5084f10a5,33528882,,,PARTIAL,True,ca2-db4133161e8ad967d9de,2,0724b70f774fe23420aa52ff85b71ed8986e8f8d9367121c5122e38f7ae90b50,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
vista,bsc,0x493361d6164093936c86dcb35ad03b4c0d032076,43305237,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x493361d6164093936c86dcb35ad03b4c0d032076,43305237,,,PARTIAL,True,ca2-7efff287d58605a4cc72,3,077c3743dacafe5e5629a5dcf8d5c696c822b1421b63d31bd73c61ed18cae8d9,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
aes,bsc,0xddc0cff76bcc0ee14c3e73af630c029fe020f907,23695904,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xddc0cff76bcc0ee14c3e73af630c029fe020f907,23695904,,,PARTIAL,True,ca2-d936d709679fed1fbeae,1,0bf9bd61233403c0cd2f837809ef5015c353ed2fdf80951090f71955e126a858,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
krc_token_pair,bsc,0xdbead75d3610209a093af1d46d5296bbeffd53f5,49875423,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xdbead75d3610209a093af1d46d5296bbeffd53f5,49875423,,,PARTIAL,True,ca2-30c70897da96155884e4,3,0c276f67a78fddfccaca2332049ef4bd9028c976695b08e1d0d70a07020b8881,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
mosca2,bsc,0xd8791f0c10b831b605c5d48959eb763b266940b9,45722243,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xd8791f0c10b831b605c5d48959eb763b266940b9,45722243,,,PARTIAL,True,ca2-b6847d12944e5dba551b,3,0d810d0909f4ed3d2c8abfbd405d1bf558e94d73df537bca05047016eca13889,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
mttoken,bsc,0x2f3f25046ea518d1e524b8fb6147c656d6722ced,74937079,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x2f3f25046ea518d1e524b8fb6147c656d6722ced,74937079,,,PARTIAL,True,ca2-0a80356999aee511c6c7,3,0f0054b5d99a6f12fb83389e3bb68e023cae608a097ef35c47789e701c68362d,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
bamboo,bsc,0xed56784bc8f2c036f6b0d8e04cb83c253e4a6a94,29668034,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xed56784bc8f2c036f6b0d8e04cb83c253e4a6a94,29668034,,,PARTIAL,True,ca2-3ea99bf48860cd3d90e9,1,10ef98c0e429f23fe160a3243b651e5a3f69a369f2051ba4dce8152e2432ca9d,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
xai,bsc,0x570ce7b89c67200721406525e1848bca6ff5a6f3,33503556,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x570ce7b89c67200721406525e1848bca6ff5a6f3,33503556,,,PARTIAL,True,ca2-8cfe2ca57c523f31600e,2,1128d2a567a56b6444c6e365195a9042c0f643d57110603bf521fbcb754b95a4,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
hydt,bsc,0xa2268fcc2fe7a2bb755fbe5a7b3ac346ddfedb9b,42985310,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xa2268fcc2fe7a2bb755fbe5a7b3ac346ddfedb9b,42985310,,,PARTIAL,True,ca2-196bde1bc084a841e794,3,11c22dca0a888945e360e210d47428a0ac80f376a9831b911f8cabd55931dfab,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
sheep,bsc,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,25543755,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,25543755,,,PARTIAL,True,ca2-91206b717060c4fd7b39,1,1220c95fa6421f656a18f26952526245d16553cc2e26111ce4895c3ecf548f86,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
98_token,bsc,0xb040d88e61ea79a1289507d56938a6ad9955349c,45462897,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xb040d88e61ea79a1289507d56938a6ad9955349c,45462897,,,PARTIAL,True,ca2-399010b287f06a594153,3,13114d57dfacf03e51e1b938278f50f9556df872a414c07d74d4422e43184a9d,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
seaman,bsc,0x6bc9b4976ba6f8c9574326375204ee469993d038,23467515,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x6bc9b4976ba6f8c9574326375204ee469993d038,23467515,,,PARTIAL,True,ca2-d3a51f08e6355a17ca20,1,13da226a695195311e5ade251ac7b5799ba4d4db9840a0155ce109cd6d75921c,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
gds,bsc,0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,24449918,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,24449918,,,PARTIAL,True,ca2-21e1af0751214952c72b,1,14ed6a6f21b8ac3b91f60cbc211d05571d108f3f366f1e922094676f00f5fc86,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
roulette_pot_v2,bsc,0xf573748637e0576387289f1914627d716927f90f,45668285,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xf573748637e0576387289f1914627d716927f90f,45668285,,,PARTIAL,True,ca2-53f0c0893c96da4fd077,3,15b08d9c7d093a841f061645dac38315ad4cf72fb3949e340c95c6ada07a1fef,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
h2o,bsc,0xe9c4d4f095c7943a9ef5ec01afd1385d011855a1,47454898,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xe9c4d4f095c7943a9ef5ec01afd1385d011855a1,47454898,,,PARTIAL,True,ca2-3e63d905e3ed3178d5fb,3,17b66568b51199be7992de11706056395ba43899ad18b2321f3a04c9298001c7,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
ngfs,bsc,0xa608985f5b40cdf6862bec775207f84280a91e3a,38167372,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xa608985f5b40cdf6862bec775207f84280a91e3a,38167372,,,PARTIAL,True,ca2-b76182b1e2e51faa9428,2,17f7b8976835073f405c5e529dcbac3a92511f3f8d96560da305cb8aea0780f9,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
annex,bsc,0xe65e970f065643ba80e5822edff483a1d75263e3,23165446,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0xe65e970f065643ba80e5822edff483a1d75263e3,23165446,,,PARTIAL,True,ca2-a13694fcc2f9f05dda72,0,18332e27c5a623e0add1c7a3459abe10fc847c87216a9b2bf9ed70bcddf6e23b,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
laxo_token,bsc,0x62951cad7659393bf07fbe790cf898a3b6d317cb,82730141,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx,0x62951cad7659393bf07fbe790cf898a3b6d317cb,82730141,,,PARTIAL,True,ca2-f4a91ff1efea083dedab,3,18784f55f05ad039ed599029e22bf86a1e93ab68df48fbe8da22ca73ee942747,False,1,3,3,True,2942b2819e08d00d8eb23bee9815e9c644757421e92e3c1307a45b057e264cf1,60494f0bea76eef89f0a8b74dd5235092888bbedf7781d982a527ba3528996ad,05ed12a61b9c1ea958e2cd47aba15354039220e7e24f03d370682eddb0e87cdd
