case_name,chain,incident_date,event_observed,event_type,outcome_evidence_sha256,prediction_cutoff_time,followup_days,censoring_status
rikkei,bsc,2022-04-15,1,publicly_documented_exploit_incident,c85629486d43f7118174c99849721d472720c1f818639919c84a8eb795cc1a25,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
gym_1,bsc,2022-04-09,1,publicly_documented_exploit_incident,f06c052bbed028dedfbce1e3573459fba13ecb030f95eeb27b06eaae14b9c7cb,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
cftoken,bsc,2022-04-11,1,publicly_documented_exploit_incident,ef7aed77f0e27a0eba086a9d55b0a8defb7987fbb448c069472426995eb8aa43,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
rari,ethereum,2022-04-30,1,publicly_documented_exploit_incident,bfdd6ad4dd398e473d0b99c4932aea070edf3d71517f6371def560e0ba3e6421,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
wdoge,bsc,2022-04-24,1,publicly_documented_exploit_incident,e3d5bf554f1f7886a068cfb63775d3ac3b2f0d2a810d5c9a10348df718f2eaaa,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
zeed,bsc,2022-04-21,1,publicly_documented_exploit_incident,10d5d85a1d88c996ee2a736abc651bf9c2c782d201e43cea87beaefff942724f,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bayc_apecoin,ethereum,2022-05-17,1,publicly_documented_exploit_incident,5fea314c8aa1c5d6be50e46582b4cd6e7c251019ff21bba772a724bf355614ca,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
saddle,ethereum,2022-04-30,1,publicly_documented_exploit_incident,cd185764b578e3785166a873b0e69b31c47f673aecf81d03316fdb06e58094be,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
discover,bsc,2022-06-06,1,publicly_documented_exploit_incident,1bbd267da672f036dcb9cc6a5ccfd9125e402490153ded9ee9e6077892e33b65,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
hackdao,bsc,2022-05-24,1,publicly_documented_exploit_incident,7d0cc52ff2fd2f99672ff48476b9c21fa5a99820b342fed48eb46b2a5acba657,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
inversefinance,ethereum,2022-06-16,1,publicly_documented_exploit_incident,565fe7dc83f785bb37b0d4a80b20879d5d6d810a44db5cf0bb79ed142b3743ba,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
gym_2,bsc,2022-06-08,1,publicly_documented_exploit_incident,8fcc505a028f0a841ea7fbcb5965f7ef30463ae7e5022b0723605c4461c74cdf,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
flippazone,ethereum,2022-07-06,1,publicly_documented_exploit_incident,9b76e14eedbc5e1e1bb8150fb55eb2ccd8f63a0421870d6a30c18a9bbed3b064,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
lpc,bsc,2022-07-25,1,publicly_documented_exploit_incident,965abc2879337609e714a13f9ca4dd468ede665cca9a0a0b1a678d2af876b20c,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
spacegodzilla,bsc,2022-07-13,1,publicly_documented_exploit_incident,e552b812039f2df36678f729fde98abadeb3c982c781dbc0ebd563f2c12889be,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
snood,ethereum,2022-06-18,1,publicly_documented_exploit_incident,0dd39906bf8cb342ba822987ad463fcd9d4243bb6c670efe79a0943579d39811,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
anch,bsc,2022-08-09,1,publicly_documented_exploit_incident,df8cb6720f717f132b0d1444a83d99966a00010c95622096eabb37d9444fc3c7,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
audius,ethereum,2022-07-23,1,publicly_documented_exploit_incident,c5b1301a7820658065c0a37affe24ed15dfef662bf35206cc1e82edd86b5d1a4,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
etnproduct,bsc,2022-08-04,1,publicly_documented_exploit_incident,7bb776604651c2fab27ed51f637376921f2fdc64f1c691854bdbf1650c2578d2,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
ddc,bsc,2022-08-28,1,publicly_documented_exploit_incident,6c34170b0b225ad4a601adeec68bbfd07c1119ed994bc793ea99e849d14eb665,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
luckytiger,ethereum,2022-08-24,1,publicly_documented_exploit_incident,3d054af4b119ee50bc2daeb0461f8a75d3605ce2c395f77fd1d9e96ee4b8b615,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
egd_finance,bsc,2022-08-07,1,publicly_documented_exploit_incident,0a5382e2133b53dbb3e54f8d78724fd6d573222d192fc00b71c5e5519a84aa22,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
badguysbyrpf,ethereum,2022-09-02,1,publicly_documented_exploit_incident,f63b98e0b885c4af1e21877846716e2bf1f4fb796d75674c929c382c0a628f82,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xst_2,ethereum,2022-08-10,1,publicly_documented_exploit_incident,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
nomadbridge,ethereum,2022-08-02,1,publicly_documented_exploit_incident,f0e573be780bf95556815ae6a155d116aa4254dfcd4a7c5269af5861099aa70d,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bxh,bsc,2022-09-28,1,publicly_documented_exploit_incident,a1060132f6e66172264c33da043d90c8cc843f22a10c916489986b84d49d9def,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
dpc,bsc,2022-09-09,1,publicly_documented_exploit_incident,39fdd2dcab396ec29da33a0d4ccb40047cd6e46be431607901546351eb00b22b,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
shadowfi,bsc,2022-09-02,1,publicly_documented_exploit_incident,2674bd359af18771b2693c9eb18c461d64e49e1bff2cb37031a9c1f7353fce91,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
atk,bsc,2022-10-12,1,publicly_documented_exploit_incident,c060298c8207aea642918805b16e34a6388f1cdff91137616c2376ab65aefa7f,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bego,bsc,2022-10-20,1,publicly_documented_exploit_incident,58e9a445670a0e0c48d6d59284a10a8d17e71910bd1fb01d740c18be48ca6e61,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
babyswap,bsc,2022-10-01,1,publicly_documented_exploit_incident,648b0e42186edd74db255dcbf89e94b86ef3204992ab4ef6515281ec8cb35351,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
roi,bsc,2022-09-08,1,publicly_documented_exploit_incident,bccbb202669b05e37194493de31af6ac45210bb1e2e41b89b2e016ed27d84076,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
thb,bsc,2022-10-01,1,publicly_documented_exploit_incident,7dca945bd8148fff011da7673f1abf279d12de9422033958c42671c508a3d844,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
carrot,bsc,2022-10-10,1,publicly_documented_exploit_incident,4d96e3a73a95448bc7213d2d443106421b0f7cd0bbcc86d258822892334817da,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
eflevervault,ethereum,2022-10-14,1,publicly_documented_exploit_incident,954dd3cff81e5096a937ca6ce685065912b871c4db14ebce49c6bec99fd6db35,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
health,bsc,2022-10-20,1,publicly_documented_exploit_incident,9f8e580ec1be1398baaab429018b092e5549088e02adb2649e39678b7af87cca,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
hpay,bsc,2022-10-18,1,publicly_documented_exploit_incident,2399707e28f954727823461c14477892dff7efedc003879ddf5e67fed75a1a49,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
n00d,ethereum,2022-10-26,1,publicly_documented_exploit_incident,11ff444d4c0e8a4cd162e610148a408caa8130f4f785787c1e1207df8f189a5f,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
inuko,bsc,2022-10-14,1,publicly_documented_exploit_incident,125d4be47987e729fe46c75a14bc5efc7921bccc042bb535cceb2433d852a750,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
pltd,bsc,2022-10-18,1,publicly_documented_exploit_incident,cac8cf31fc6bc0b34a5b217125cd420c92052fdb5d6f45b969e30f2e005c3a36,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
olympusdao,ethereum,2022-10-21,1,publicly_documented_exploit_incident,9137bfb1f78624f22a987a5c813728ecf26db927f90914a81e97d62f7116241e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
res,bsc,2022-10-06,1,publicly_documented_exploit_incident,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
rl,bsc,2022-10-01,1,publicly_documented_exploit_incident,4bf47ce88fd3406cc0b17b04a55a21cee62f037f476c9839d360c277cb009026,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
res_2,bsc,2022-10-06,1,publicly_documented_exploit_incident,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
uerii,ethereum,2022-10-17,1,publicly_documented_exploit_incident,1654298690070fa195b28553bebcf03ed68b7e44ed406b797d80984bf8a0bafb,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
templedao,ethereum,2022-10-11,1,publicly_documented_exploit_incident,6b76732e2c68a560ae8b5c0f0d15030848042afcd80136eb3b27d6ce55762cdc,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
vtf,bsc,2022-10-27,1,publicly_documented_exploit_incident,5d36cdbaf2577149dee0157b6dfc3195d8ce58eab869241635489c9bbe703964,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
ulme,bsc,2022-10-25,1,publicly_documented_exploit_incident,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
teamfinance,ethereum,2022-10-27,1,publicly_documented_exploit_incident,6a0e8bd382922d81dcc1554154f4b378dd28d80882eaeb9867fcf36815ccb2f9,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
ulme_2,bsc,2022-10-25,1,publicly_documented_exploit_incident,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
aur,bsc,2022-11-22,1,publicly_documented_exploit_incident,a1adaf41dd11076a0c6abe847a5a99f7c01768579fff99e51ec958f98aed2032,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
annex,bsc,2022-11-19,1,publicly_documented_exploit_incident,e742a9533015d11cdc16dd7199f05e94aeb146693ddbbb56822682c4c62144a5,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xavefinance,ethereum,2022-10-09,1,publicly_documented_exploit_incident,450c1eed9cbbb389605b19e2b6ba170d61dbfe8eaf90ef0f3efb5111927f9f80,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bdex,bsc,2022-11-05,1,publicly_documented_exploit_incident,d7356a5b6c7826496bf5c92e42ee8d41decc81ac2d426a9956fb48b508e80f61,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
kashi,ethereum,2022-11-08,1,publicly_documented_exploit_incident,b77c60f150c5c25dd906c2a9903f85b1fafd528d087091821a1d60cdca30cde7,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
mbc_zzsh,bsc,2022-11-29,1,publicly_documented_exploit_incident,a80a6cc927c627a9050079687a39fd6a54d9ea5e91c06e0f04c64bc526927f7a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
brahtopg,ethereum,2022-11-09,1,publicly_documented_exploit_incident,064f316b99b0a1f98a34984d48a489c4eb79f0faa95bfe06d70834fea54d5b84,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
num,ethereum,2022-11-23,1,publicly_documented_exploit_incident,aeb636da37cd692bf6edbc12347f76d2dcc41adfe17e68a668154e54ecaa6626,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sdao,bsc,2022-11-21,1,publicly_documented_exploit_incident,1a06914e310c71e938fe55a12bbae8cc4f3c4d41c7aba4319bef418e1d845a67,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
dfx,ethereum,2022-11-10,1,publicly_documented_exploit_incident,0a764876626e11ef7fe89899ac826a198d0f8da9dd76a0a5e1b008a2ec10c3e3,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
moocakectx,bsc,2022-11-07,1,publicly_documented_exploit_incident,3af7845d9257437b50e85a2bc7125fe16b6e1bdd14a128ac6dd573a8c7326a75,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sheepfarm2,bsc,2022-11-16,1,publicly_documented_exploit_incident,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
seaman,bsc,2022-11-29,1,publicly_documented_exploit_incident,f1ca2231b820f53779c10bab341395bdc803710af2dfadecf2ae35f41b5c3af3,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
aes,bsc,2022-12-07,1,publicly_documented_exploit_incident,d1c52ab22c1564e57e2b978ad5f398c573eae65f516da2002000fc89aa65dca8,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
sheepfarm,bsc,2022-11-16,1,publicly_documented_exploit_incident,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
uearnpool,bsc,2022-11-17,1,publicly_documented_exploit_incident,59ef8f9e7fdcb10ddc15b1131e38f7cb854372e605a7e49b8de66d2a4821436e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
jay,ethereum,2022-12-29,1,publicly_documented_exploit_incident,db1386515f5590d05f7541d5408962e432cf7a36b642148c7d48db338e720977,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
dfs,bsc,2022-12-30,1,publicly_documented_exploit_incident,e765f32ba2f1e0a49a1197f2d14f219e54cc1ed2553a8e4fcb4837bb18023780,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bgld,bsc,2022-12-12,1,publicly_documented_exploit_incident,b4331ab675cd1aeda7e8523c81fb680ad14fb0ca68b8ac43567239d25d99bd1a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
rubic,ethereum,2022-12-25,1,publicly_documented_exploit_incident,da04e68c0f4514a328d8599802a7ac32ff9f8f776a7cd9d7234b41de7ff62a3c,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
tifi,bsc,2022-12-10,1,publicly_documented_exploit_incident,7f82c3b22f877b29e73579743e56feb968524e2feba88c81bc4782f118d40a27,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
qixi,bsc,2022-08-03,1,publicly_documented_exploit_incident,ecb01762f527766c39fe2d3f5372891ed460cf2be0f313effdfc71c9a565b929,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xcarnival,ethereum,2022-06-26,1,publicly_documented_exploit_incident,88bf3e75a8bcebe33c14479d0616c9df90bd72e57b5190dbd7b85c8d5de477d1,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
novo,bsc,2022-05-29,1,publicly_documented_exploit_incident,80dbdee6522539fe7f9968d8aa1115f0501afebf84304c7d09a8cf60a4c01058,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
xst,ethereum,2022-08-10,1,publicly_documented_exploit_incident,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bbox,bsc,2022-12-05,1,publicly_documented_exploit_incident,d515ed7adc9406e1fd4d2bb26fb010dcff10f5685bb1cbea64f5dc803bec1159,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
nmbplatform,bsc,2022-12-14,1,publicly_documented_exploit_incident,37a693062e1c454bcdd647800fb3848ffca994e2e26dfb9c04d914e0e7986a0d,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
rfb,bsc,2022-12-05,1,publicly_documented_exploit_incident,4c22db30e2907b87781834b816f73a5451ddbd78318b377367142737299a5f35,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
shoco,ethereum,2023-01-19,1,publicly_documented_exploit_incident,78592a7b3034c3c46902ecbef7e8880793d53f634d01dfcc4cb88973dcb92bae,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
qtn,ethereum,2023-01-18,1,publicly_documented_exploit_incident,97f79379800de58b011883fb2a3b22ada9dfc6c648e72c2674a80e4344a5ddd0,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
tinu,ethereum,2023-01-26,1,publicly_documented_exploit_incident,209b2350caa38b1ece628269e73da01c91e2584a7ea39cb8661f67cf821f0ca4,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bra,bsc,2023-01-10,1,publicly_documented_exploit_incident,28c23d8c63daac50bc2d88fdd2e6da928eaad2ae14e15e393342b2bd7f5bdb60,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
bevo,bsc,2023-01-30,1,publicly_documented_exploit_incident,466f574ba0b6138ad285df179e8ef8e1f47132c03f6f4cec1ce0c17360bb607a,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
omniestate,bsc,2023-01-17,1,publicly_documented_exploit_incident,339c1cb46cb4b8dba4a69aabf4bd3ddcdf16695bb4c9db2873ed5067910fd5c3,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
gds,bsc,2023-01-03,1,publicly_documented_exploit_incident,f133bcf77115517e92a74eaa4862856160367c7dfa6ab0ce717703333d38ca93,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
ufdao,bsc,2023-01-11,1,publicly_documented_exploit_incident,3f87a9969fbd9c3a46a8b56de964bbd87d555974a9361bf27e54e156e94b6108,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
upswing,ethereum,2023-01-18,1,publicly_documented_exploit_incident,096a64991a7d2fc68aa16318ed16cec6cc60de825fa4e6de92de2b3425e4e1b3,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
roefinance,ethereum,2023-01-11,1,publicly_documented_exploit_incident,4038cc16dc764000e5540fd5f01aa745903eea938e4ed3a99a5455622162b49e,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
efvault,ethereum,2023-02-24,1,publicly_documented_exploit_incident,68edecb51d2fa2593e02e14f18e96fd9ea8769ae3611be1d4dabd888b636bd01,,,event_observed_but_time_from_cutoff_pending_deployment_evidence
