case_name,incident_name,incident_date,incident_record_sha256,source_snapshot_sha256,protocol_family,primary_root_cause,confidence,evidence_references
paraluni,Paraluni,2022-03-13,9afc49f7b502ddc859eb73df6ad44cc8f1978b85a461bd671cda557d2a71d35d,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
qubit,Qubit Finance,2022-01-28,0f00e16a4a5b3ca0999697aa87fe5dca6316af20fddc2f9328ce37176b896972,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
revest,Revest Finance,2022-03-27,88ae5e0c370c7e71164bf483fef14d13427ddda22572679a18b40123ff9d504d,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
umbrella,Umbrella Network,2022-03-20,d2b545485a2576c627b6163d1b888de767cc3eb51fb52f4e390490d24c8d9900,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
cream_2,CreamFinance,2021-10-27,1d701117ac3bc86137daa8d8de96c3bae95c064e19be5ee80d1e5ebbfb1bb0ae,93b19197192b409cf7360b9bfa564d474da5a115f9bf279a5b8cc61093dadab6,,,,
akutarnft,Akutar NFT,2022-04-23,9d1f7e9a307cec973ffd61b64f153f67af7aefa72480ca01dd85649d26d626e7,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
rikkei,Rikkei Finance,2022-04-15,c85629486d43f7118174c99849721d472720c1f818639919c84a8eb795cc1a25,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
gym_1,GYMNetwork,2022-04-09,f06c052bbed028dedfbce1e3573459fba13ecb030f95eeb27b06eaae14b9c7cb,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
cftoken,Creat Future,2022-04-11,ef7aed77f0e27a0eba086a9d55b0a8defb7987fbb448c069472426995eb8aa43,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
rari,Rari Capital/Fei Protocol,2022-04-30,bfdd6ad4dd398e473d0b99c4932aea070edf3d71517f6371def560e0ba3e6421,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
wdoge,Wiener DOGE,2022-04-24,e3d5bf554f1f7886a068cfb63775d3ac3b2f0d2a810d5c9a10348df718f2eaaa,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
zeed,Zeed Finance,2022-04-21,10d5d85a1d88c996ee2a736abc651bf9c2c782d201e43cea87beaefff942724f,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bayc_apecoin,ApeCoin (APE),2022-05-17,5fea314c8aa1c5d6be50e46582b4cd6e7c251019ff21bba772a724bf355614ca,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
saddle,Saddle Finance,2022-04-30,cd185764b578e3785166a873b0e69b31c47f673aecf81d03316fdb06e58094be,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
discover,Discover,2022-06-06,1bbd267da672f036dcb9cc6a5ccfd9125e402490153ded9ee9e6077892e33b65,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
hackdao,HackDao,2022-05-24,7d0cc52ff2fd2f99672ff48476b9c21fa5a99820b342fed48eb46b2a5acba657,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
inversefinance,InverseFinance,2022-06-16,565fe7dc83f785bb37b0d4a80b20879d5d6d810a44db5cf0bb79ed142b3743ba,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
gym_2,GYMNetwork,2022-06-08,8fcc505a028f0a841ea7fbcb5965f7ef30463ae7e5022b0723605c4461c74cdf,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
flippazone,FlippazOne NFT,2022-07-06,9b76e14eedbc5e1e1bb8150fb55eb2ccd8f63a0421870d6a30c18a9bbed3b064,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
lpc,LPC,2022-07-25,965abc2879337609e714a13f9ca4dd468ede665cca9a0a0b1a678d2af876b20c,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
spacegodzilla,SpaceGodzilla,2022-07-13,e552b812039f2df36678f729fde98abadeb3c982c781dbc0ebd563f2c12889be,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
snood,SNOOD,2022-06-18,0dd39906bf8cb342ba822987ad463fcd9d4243bb6c670efe79a0943579d39811,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
anch,ANCH,2022-08-09,df8cb6720f717f132b0d1444a83d99966a00010c95622096eabb37d9444fc3c7,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
audius,Audius,2022-07-23,c5b1301a7820658065c0a37affe24ed15dfef662bf35206cc1e82edd86b5d1a4,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
etnproduct,EtnProduct,2022-08-04,7bb776604651c2fab27ed51f637376921f2fdc64f1c691854bdbf1650c2578d2,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
ddc,DDC,2022-08-28,6c34170b0b225ad4a601adeec68bbfd07c1119ed994bc793ea99e849d14eb665,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
luckytiger,LuckyTiger NFT,2022-08-24,3d054af4b119ee50bc2daeb0461f8a75d3605ce2c395f77fd1d9e96ee4b8b615,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
egd_finance,EGD Finance,2022-08-07,0a5382e2133b53dbb3e54f8d78724fd6d573222d192fc00b71c5e5519a84aa22,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
badguysbyrpf,Bad Guys by RPF,2022-09-02,f63b98e0b885c4af1e21877846716e2bf1f4fb796d75674c929c382c0a628f82,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
xst_2,XSTABLE Protocol,2022-08-10,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
nomadbridge,Nomad Bridge,2022-08-02,f0e573be780bf95556815ae6a155d116aa4254dfcd4a7c5269af5861099aa70d,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bxh,BXH,2022-09-28,a1060132f6e66172264c33da043d90c8cc843f22a10c916489986b84d49d9def,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
dpc,DPC,2022-09-09,39fdd2dcab396ec29da33a0d4ccb40047cd6e46be431607901546351eb00b22b,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
shadowfi,ShadowFi,2022-09-02,2674bd359af18771b2693c9eb18c461d64e49e1bff2cb37031a9c1f7353fce91,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
atk,ATK,2022-10-12,c060298c8207aea642918805b16e34a6388f1cdff91137616c2376ab65aefa7f,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bego,BEGO,2022-10-20,58e9a445670a0e0c48d6d59284a10a8d17e71910bd1fb01d740c18be48ca6e61,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
babyswap,BabySwap,2022-10-01,648b0e42186edd74db255dcbf89e94b86ef3204992ab4ef6515281ec8cb35351,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
roi,Ragnarok Online Invasion,2022-09-08,bccbb202669b05e37194493de31af6ac45210bb1e2e41b89b2e016ed27d84076,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
thb,Thunder Brawl,2022-10-01,7dca945bd8148fff011da7673f1abf279d12de9422033958c42671c508a3d844,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
carrot,Carrot,2022-10-10,4d96e3a73a95448bc7213d2d443106421b0f7cd0bbcc86d258822892334817da,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
eflevervault,EFLeverVault,2022-10-14,954dd3cff81e5096a937ca6ce685065912b871c4db14ebce49c6bec99fd6db35,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
health,HEALTH,2022-10-20,9f8e580ec1be1398baaab429018b092e5549088e02adb2649e39678b7af87cca,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
hpay,HPAY,2022-10-18,2399707e28f954727823461c14477892dff7efedc003879ddf5e67fed75a1a49,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
n00d,N00d Token,2022-10-26,11ff444d4c0e8a4cd162e610148a408caa8130f4f785787c1e1207df8f189a5f,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
inuko,INUKO,2022-10-14,125d4be47987e729fe46c75a14bc5efc7921bccc042bb535cceb2433d852a750,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
pltd,PLTD,2022-10-18,cac8cf31fc6bc0b34a5b217125cd420c92052fdb5d6f45b969e30f2e005c3a36,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
olympusdao,OlympusDAO,2022-10-21,9137bfb1f78624f22a987a5c813728ecf26db927f90914a81e97d62f7116241e,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
res,RES-Token,2022-10-06,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
rl,RL Token,2022-10-01,4bf47ce88fd3406cc0b17b04a55a21cee62f037f476c9839d360c277cb009026,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
res_2,RES-Token,2022-10-06,1dbbd04e37edbe1dd2ff9ede49ad8136d5b3d8d641db8a241146a66538204fe9,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
uerii,Uerii Token,2022-10-17,1654298690070fa195b28553bebcf03ed68b7e44ed406b797d80984bf8a0bafb,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
templedao,Templedao,2022-10-11,6b76732e2c68a560ae8b5c0f0d15030848042afcd80136eb3b27d6ce55762cdc,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
vtf,VTF Token,2022-10-27,5d36cdbaf2577149dee0157b6dfc3195d8ce58eab869241635489c9bbe703964,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
ulme,ULME,2022-10-25,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
teamfinance,Team Finance,2022-10-27,6a0e8bd382922d81dcc1554154f4b378dd28d80882eaeb9867fcf36815ccb2f9,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
ulme_2,ULME,2022-10-25,cdf407823e4e95f546434c59ec7012fb89c14ae363f85652580392d25971c807,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
aur,AUR,2022-11-22,a1adaf41dd11076a0c6abe847a5a99f7c01768579fff99e51ec958f98aed2032,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
annex,AnnexFinance,2022-11-19,e742a9533015d11cdc16dd7199f05e94aeb146693ddbbb56822682c4c62144a5,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
xavefinance,Xave Finance,2022-10-09,450c1eed9cbbb389605b19e2b6ba170d61dbfe8eaf90ef0f3efb5111927f9f80,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bdex,BDEX,2022-11-05,d7356a5b6c7826496bf5c92e42ee8d41decc81ac2d426a9956fb48b508e80f61,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
kashi,Kashi,2022-11-08,b77c60f150c5c25dd906c2a9903f85b1fafd528d087091821a1d60cdca30cde7,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
mbc_zzsh,MBC & ZZSH,2022-11-29,a80a6cc927c627a9050079687a39fd6a54d9ea5e91c06e0f04c64bc526927f7a,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
brahtopg,BrahTOPG,2022-11-09,064f316b99b0a1f98a34984d48a489c4eb79f0faa95bfe06d70834fea54d5b84,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
num,NUM,2022-11-23,aeb636da37cd692bf6edbc12347f76d2dcc41adfe17e68a668154e54ecaa6626,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
sdao,sDAO,2022-11-21,1a06914e310c71e938fe55a12bbae8cc4f3c4d41c7aba4319bef418e1d845a67,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
dfx,DFXFinance,2022-11-10,0a764876626e11ef7fe89899ac826a198d0f8da9dd76a0a5e1b008a2ec10c3e3,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
moocakectx,MooCAKECTX,2022-11-07,3af7845d9257437b50e85a2bc7125fe16b6e1bdd14a128ac6dd573a8c7326a75,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
sheepfarm2,SheepFarm,2022-11-16,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
seaman,SEAMAN,2022-11-29,f1ca2231b820f53779c10bab341395bdc803710af2dfadecf2ae35f41b5c3af3,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
aes,AES (Deflationary token),2022-12-07,d1c52ab22c1564e57e2b978ad5f398c573eae65f516da2002000fc89aa65dca8,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
sheepfarm,SheepFarm,2022-11-16,d355bf4da91ccdca71ac0b806670a9370d6a0f42380c325a563cb042fcc58b1a,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
uearnpool,UEarnPool,2022-11-17,59ef8f9e7fdcb10ddc15b1131e38f7cb854372e605a7e49b8de66d2a4821436e,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
jay,JAY,2022-12-29,db1386515f5590d05f7541d5408962e432cf7a36b642148c7d48db338e720977,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
dfs,DFS,2022-12-30,e765f32ba2f1e0a49a1197f2d14f219e54cc1ed2553a8e4fcb4837bb18023780,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bgld,BGLD (Deflationary token),2022-12-12,b4331ab675cd1aeda7e8523c81fb680ad14fb0ca68b8ac43567239d25d99bd1a,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
rubic,Rubic,2022-12-25,da04e68c0f4514a328d8599802a7ac32ff9f8f776a7cd9d7234b41de7ff62a3c,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
tifi,TIFIToken,2022-12-10,7f82c3b22f877b29e73579743e56feb968524e2feba88c81bc4782f118d40a27,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
qixi,Qixi,2022-08-03,ecb01762f527766c39fe2d3f5372891ed460cf2be0f313effdfc71c9a565b929,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
xcarnival,XCarnival,2022-06-26,88bf3e75a8bcebe33c14479d0616c9df90bd72e57b5190dbd7b85c8d5de477d1,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
novo,NOVO Protocol,2022-05-29,80dbdee6522539fe7f9968d8aa1115f0501afebf84304c7d09a8cf60a4c01058,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
xst,XSTABLE Protocol,2022-08-10,ac980aa50936e743b521836e95229deb5e03a037f3e51a56bce508ae29842a7c,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
bbox,BBOX,2022-12-05,d515ed7adc9406e1fd4d2bb26fb010dcff10f5685bb1cbea64f5dc803bec1159,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
nmbplatform,Nmbplatform,2022-12-14,37a693062e1c454bcdd647800fb3848ffca994e2e26dfb9c04d914e0e7986a0d,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
rfb,RFB,2022-12-05,4c22db30e2907b87781834b816f73a5451ddbd78318b377367142737299a5f35,e7668ddd37e305db9052d4f208bb3b87d1e75956950739d5e9f1fd66f4c26267,,,,
shoco,SHOCO,2023-01-19,78592a7b3034c3c46902ecbef7e8880793d53f634d01dfcc4cb88973dcb92bae,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
qtn,QTNToken,2023-01-18,97f79379800de58b011883fb2a3b22ada9dfc6c648e72c2674a80e4344a5ddd0,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
tinu,TINU,2023-01-26,209b2350caa38b1ece628269e73da01c91e2584a7ea39cb8661f67cf821f0ca4,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
bra,BRA,2023-01-10,28c23d8c63daac50bc2d88fdd2e6da928eaad2ae14e15e393342b2bd7f5bdb60,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
bevo,BEVO,2023-01-30,466f574ba0b6138ad285df179e8ef8e1f47132c03f6f4cec1ce0c17360bb607a,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
omniestate,OmniEstate,2023-01-17,339c1cb46cb4b8dba4a69aabf4bd3ddcdf16695bb4c9db2873ed5067910fd5c3,1b5a1d9c3166c2b9d60fefc71f8e12d2c3d2f604b259d662e38310d39db6838b,,,,
