case_name,chain,target_contract_address,fork_block_number,required_queries
bancor,ethereum,0x5f58058c0ec971492166763c8c22632b583f667f,10307563,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
88mph,ethereum,0xf0b7de03134857391d8d43ed48e20edf21461097,12516705,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
eleven,bsc,0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,8530973,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xwin,bsc,0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,8589725,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
cream,ethereum,0x2db6c82ce72c8d7d770ba1b5f5ed0b6e075066d6,13125070,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xsurge,bsc,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,10087723,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
nowswap,ethereum,0xa0ff0e694275023f4986dc3ca12a6eb5d6056c62,13225516,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
nimbus,ethereum,0xc0a6b8c534fad86df8fa1abb17084a70f86eddc1,13225516,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
GoldReserve,bsc,0x7c77576a2b48504ebd9ff0810d799651f68742d3,46278330,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sushimiso,ethereum,0x4c4564a1fe775d97297f9e3dc2e762e0ed5dda0e,13038771,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
balancer_20200628,ethereum,0x0e511aa1a137aad267dfe3a6bfca0b856c1a3682,10355806,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
mono,ethereum,0xc36a7887786389405ea8da0b87602ae3902b88a1,13715025,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
ploutoz,bsc,0x844fa82f1e54824655470970f7004dd90546bb28,12886415,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
nervebridge,bsc,0xd0fbf0a224563d5ffc8a57e4fda6ae080ebcf3d3,12653565,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
indexedfinance,ethereum,0xf00a38376c8668fc1f3cd3daeef42e0e44a7fcdb,13417948,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
visor,ethereum,0xc9f27a50f82571c1c8423a42970613b8dbda14ef,13849006,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
julswap,bsc,0x32dffc3fe8e3ef3571bf8a72c0d0015c5373f41d,7785586,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
pancakehunny,bsc,0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,7962338,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
valuedefi,bsc,0xd4bbf439d3eab5155ca7c0537e583088fb4cfce8,7223029,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
tecraspace,ethereum,0xe38b72d6595fd3885d1d2f770aa23e94757f91a1,14139081,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sandbox,ethereum,0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,14163041,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
compoundtusd,ethereum,0x12392f67bdf24fae0af363c24ac620a2f67dad86,14266479,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bearn,bsc,0xb390b07fcf76678089cb12d8e615d5fe494b01fb,7457124,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
anyswap,ethereum,0x6b7a87899490ece95443e979ca9485cbe7e71522,14037236,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
auctus,ethereum,0xe7597f774fd0a15a617894dc39d45a28b97afa4f,14460635,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
paraluni,bsc,0x633fa755a83b015cccdc451f82c57ea0bd32b4b4,16008280,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
qubit,ethereum,0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,14090169,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
revest,ethereum,0x2320a28f52334d62622cc2eafa15de55f9987ed9,14465356,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
umbrella,ethereum,0xb3fb1d01b07a706736ca175f827e4f56021b85de,14421983,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
cream_2,ethereum,0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,13499797,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
RWAVault,ethereum,0x317aa10528ff675ef4c358ea6a5b7b5494325733,24979315,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
rikkei,bsc,0xd55f01b4b51b7f48912cd8ca3cdd8070a1a9dba5,16956474,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
gym_1,bsc,0x1befe6f3f0e8edd2d4d15cae97baee01e51ea4a4,16798806,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
cftoken,bsc,0x8b7218cf6ac641382d7c723de8aa173e98a80196,16841980,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
rari,ethereum,0x3f2d1bc6d02522dbcdb216b2e75edddafe04b16f,14684813,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
wdoge,bsc,0x46ba8a59f4863bd20a066fd985b163235425b5f9,17248705,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
zeed,bsc,0xe7748fce1d1e2f2fd2dddb5074bd074745dda8ea,17132514,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
Unverified6883,ethereum,0x6883fe4d2ee50941b80b41b8f7f9bf2561d844cc,23002633,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
saddle,ethereum,0x824dcd7b044d60df2e89b1bb888e66d8bcf41491,14684306,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
discover,bsc,0xe732a7bd6706cbd6834b300d7c56a8d2096723a7,18446845,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
hackdao,bsc,0x94e06c77b02ade8341489ab9a23451f68c13ec1c,18073756,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
inversefinance,ethereum,0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670,14972418,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
gym_2,bsc,0xa8987285e100a8b557f06a7889f79e0064b359f2,18501049,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
JuiceboxREVLoans,ethereum,0x1880d832aa283d05b8eab68877717e25fbd550bb,24917718,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
lpc,bsc,0x1e813fa05739bf145c1f182cb950da7af046778d,19852596,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
spacegodzilla,bsc,0x2287c04a15bb11ad1358ba5702c1c95e2d13a5e0,19523980,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
snood,ethereum,0xd45740ab9ec920bedbd9bab2e863519e59731941,14983660,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
anch,bsc,0xa4f5d4afd6b9226b3004dd276a9f778eb75f2e9e,20302534,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
audius,ethereum,0x4deca517d6817b6510798b7328f2314d3003abac,15201793,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
etnproduct,bsc,0x1292267f726e6f313972ec4e14578735473e1649,20147974,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
CookFinanceIssuance,bsc,0x7db3cbaf736c049933a3af28dbed4a4442aa89d0,106740999,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
luckytiger,ethereum,0x9c87a5726e98f2f404cdd8ac8968e9b2c80c0967,15403430,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
egd_finance,bsc,0x34bd6dba456bc31c2b3393e499fa10bed32a9370,20245522,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
badguysbyrpf,ethereum,0xb84cbaf116eb90fd445dd5aeadfab3e807d2cbac,15460093,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xst_2,ethereum,0x91383a15c391c142b80045d8b4730c1c37ac0378,15310016,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
nomadbridge,ethereum,0x5d94309e5a0090b165fa4181519701637b6daeba,15259100,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bxh,bsc,0x27539b1dee647b38e1b987c41c5336b1a8dce663,21727289,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dpc,bsc,0xb75ca3c3e99747d0e2f6e75a9fbd17f5ac03cebe,21179209,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
shadowfi,bsc,0x10bc28d2810dd462e16facff18f78783e859351b,20969095,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
atk,bsc,0x9cb928bf50ed220ac8f703bce35be5ce7f56c99c,22102838,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bego,bsc,0xc342774492b54ce5f8ac662113ed702fc1b34972,22315679,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
babyswap,bsc,0x5c9f1a9ced41ccc5dcecda5afc317b72f1e49636,21811979,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
roi,bsc,0xe48b75dc1b131fd3a8364b0580f76efd04cf6e9c,21143795,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
JUDAO,bsc,0xf55dff7898930a2d28cdbc39d615b1624ac86888,95070973,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
carrot,bsc,0xcff086ead392ccb39c49ecda8c974ad5238452ac,22055611,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
eflevervault,ethereum,0xe39fd820b58f83205db1d9225f28105971c3d309,15746199,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
health,bsc,0x32b166e082993af6598a89397e82e123ca44e74e,22337425,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
DLMC,bsc,0xf2ca2a3572b26ae7c479dc7ae36d922113b1bdf2,106091606,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
n00d,ethereum,0x2321537fd8ef4644bacdceec54e5f35bf44311fa,15826379,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
inuko,bsc,0xea51801b8f5b88543ddad3d1727400c15b209d8f,22169169,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
pltd,bsc,0x29b2525e11bc0b0e9e59f705f318601ea6756645,22252045,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
olympusdao,ethereum,0x007fe7c498a2cf30971ad8f2cbc36bd14ac51156,15794363,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
res,bsc,0xeccd8b08ac3b587b7175d40fb9c60a20990f8d21,21948016,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
rl,bsc,0x335ddce3f07b0bdafc03f56c1b30d3b269366666,21794289,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
res_2,bsc,0xeccd8b08ac3b587b7175d40fb9c60a20990f8d21,21948016,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
uerii,ethereum,0x418c24191ae947a78c99fdc0e45a1f96afb254be,15767837,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
templedao,ethereum,0xd2869042e12a3506100af1d192b5b04d65137941,15725066,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
vtf,bsc,0xc6548caf18e20f88cc437a52b6d388b0d54d830d,22535101,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
ulme,bsc,0xae975a25646e6eb859615d0a147b909c13d31fed,22476695,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
teamfinance,ethereum,0xe2fe530c047f2d85298b07d9333c05737f1435fb,15837893,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
ulme_2,bsc,0xae975a25646e6eb859615d0a147b909c13d31fed,22476695,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
aur,bsc,0x70678291bddfd95498d1214be368e19e882f7614,23282134,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
annex,bsc,0xe65e970f065643ba80e5822edff483a1d75263e3,23165446,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xavefinance,ethereum,0x8f9036732b9aa9b82d8f35e54b71faeb2f573e2f,15704736,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bdex,bsc,0xb2b1dc3204ee8899d6575f419e72b53e370f6b20,22629431,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
kashi,ethereum,0xbb02a884621fb8f5bfd263a67f58b65df5b090f3,15928289,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
mbc_zzsh,bsc,0x4e87880a72f6896e7e0a635a5838ffc89b13bd17,23474460,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
brahtopg,ethereum,0xd248b30a3207a766d318c7a87f5cf334a439446d,15933794,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
num,ethereum,0x765277eebeca2e31912c9946eae1021199b39c61,16029969,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sdao,bsc,0x6666625ab26131b490e7015333f97306f05bf816,23241440,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dfx,ethereum,0x46161158b1947d9149e066d6d31af1283b2d377c,15941703,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
moocakectx,bsc,0x489afbaed0ea796712c9a6d366c16ca3876d8184,22832427,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sheepfarm2,bsc,0x4726010da871f4b57b5031e3ea48bde961f122aa,23089184,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
seaman,bsc,0x6bc9b4976ba6f8c9574326375204ee469993d038,23467515,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
NFTG,bsc,0x5fbbb391d54f4fb1d1cf18310c93d400bc80042e,44348366,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sheepfarm,bsc,0x4726010da871f4b57b5031e3ea48bde961f122aa,23088156,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
uearnpool,bsc,0x02d841b976298dcd37ed6cc59f75d9dd39a3690c,23120167,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
jay,ethereum,0xf2919d1d80aff2940274014bef534f7791906ff2,16288199,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dfs,bsc,0x2b806e6d78d8111dd09c58943b9855910bade005,24349821,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bgld,bsc,0xe445654f3797c5ee36406dbe88fbaa0dfbddb2bb,23844529,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
rubic,ethereum,0x3335a88bb18fd3b6824b59af62b50ce494143333,16260580,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
tifi,bsc,0x8a6f7834a9d60090668f5db33fec353a7fb4704b,23778726,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
NGP,bsc,0xd2f26200cd524db097cf4ab7cc2e5c38ab6ae5c9,61515895,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xcarnival,ethereum,0x39360ac1239a0b98cb8076d4135d0f72b7fd9909,15028846,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
novo,bsc,0x6fb2020c236bbd5a7ddeb07e14c9298642253333,18225002,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
xst,ethereum,0xb276647e70cb3b81a1ca302cf8de280ff0ce5799,15310016,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bbox,bsc,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,23106506,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
nmbplatform,bsc,0x3aa2b9de4ce397d93e11699c3f07b769b210bbd5,23639507,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
rfb,bsc,0x26f1457f067bf26881f311833391b52ca871a4b5,23649423,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
shoco,ethereum,0x31a4f372aa891b46ba44dc64be1d8947c889e9c6,16440978,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
qtn,ethereum,0xc9fa8f4cfd11559b50c5c7f6672b9eea2757e1bd,16430212,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
tinu,ethereum,0x2d0e64b6bf13660a4c0de42a0b88144a7c10991f,16489408,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bra,bsc,0x449fea37d339a11efe1b181e5d5462464bba3752,24655771,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bevo,bsc,0xc6cb12df4520b7bf83f64c79c585b8462e18b6aa,25230702,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
omniestate,bsc,0x6f40a3d0c89cffdc8a1af212a019c220a295e9bb,24850696,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
gds,bsc,0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,24449918,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
ufdao,bsc,0xf887a2dac0dd432997c970bce597a94ead4a8c25,24705058,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
upswing,ethereum,0x35a254223960c18b69c0526c46b013d022e93902,16433820,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
roefinance,ethereum,0x5f360c6b7b25dfbfa4f10039ea0f7ecfb9b02e60,16384469,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
efvault,ethereum,0xbdb515028a6fa6cd1634b5a9651184494abfd336,16696239,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
fdp,bsc,0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07,25430418,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dexible,ethereum,0xde62e1b0edaa55aac5ffbe21984d321706418024,16646022,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dyna,bsc,0xa7b5eabc3ee82c585f5f4ccc26b81c3bd62ff3a9,25879486,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
revertfinance,ethereum,0x531110418d8591c92e9cbbfc722db8ffb604fafd,16653389,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
starlink,bsc,0x518281f34dbf5b76e6cdd3908a6972e8ec49e345,25729304,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bigfi,bsc,0xd3d4b46db01c006fb165879f343fc13174a1ceeb,26685503,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sheep,bsc,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,25543755,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
orion,ethereum,0xb5599f568d3f3e6113b286d010d2bca40a7745aa,16542147,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
poolz,bsc,0x8bfaa473a899439d8e07bf86a8c6ce5de42fe54b,26475403,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
allbridge,bsc,0x7e6c2522fee4e74a0182b9c6159048361bc3260a,26982067,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
dbw,bsc,0xbf5baea5113e9eb7009a6680747f2c7569dfc2d6,26745691,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
axioma,bsc,0x2c25aee99ed08a61e7407a5674bc2d1a72b5d8e3,27620320,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
olife,bsc,0xb5a0ce3acd6ec557d39afdcbc93b07a1e1a9e3fa,27470678,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sushi_router,ethereum,0x044b75f554b886a065b9567891e45c79542d7357,17007841,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
safemoon,bsc,0x42981d0bfbaf196529376ee702f2a9eb9092fcb5,26854757,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
GiddyVaultV3,ethereum,0x5f0ad32c00641d1d2bb628ff341e0d4bb4494318,24942491,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
yearnfinance,ethereum,0x83f798e925bcd4017eb265844fddabb448f1707d,17036774,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
babydogecoin,bsc,0xc748673057861a797275cd8a068abb95a902e8de,28593354,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
silo_finance,ethereum,0xcb3b879ab11f825885d5add8bf3672596d35197c,17139470,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bitpaidio,bsc,0x9d6d817ea5d4a69ff4c4509bea8f9b2534cec108,28176675,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
WXETA,bsc,0x05c2dd9cf547c6cccf91245346e6e1bc9926cae7,42284161,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
erc20tokenbank,ethereum,0x765b8d7cd8ff304f796f4b6fb1bcf78698333f6d,17376906,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
cs,bsc,0x8bc6ce23e5e2c4f0a96429e3c9d482d74171215e,28466976,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
hodlcapital,ethereum,0xeda47e13fd1192e32226753dc2261c4a14908fb7,17220892,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
SinstakeZombie,bsc,0x7314729d691fd074dbba03ca3c6ef3be61b31d34,51737496,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
lw,bsc,0x7b8c378df8650373d82ceb1085a18fe34031784f,28133285,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
multichaincapital,ethereum,0x1a7981d87e3b6a95c1516eb820e223fe979896b3,17221445,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
level,bsc,0x977087422c008233615b572fbc3f209ed300063a,27830139,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
- ThoreumFinance,bsc,0xce1b3e5087e8215876af976032382dd338cf8401,24913171,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
neverfall,bsc,0x5abde8b434133c98c36f4b21476791d95d888bf5,27863177,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
sellc,bsc,0x274b3e185c9c8f4ddef79cb9a8dc0d94f73a7675,28092673,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
selltoken,bsc,0x57db19127617b77c8abd9420b5a35502b59870d6,28168034,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
snk,bsc,0xa3f5ea945c4970f48e322f1e70f4cc08e70039ee,27784455,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
bunn,bsc,0xc54aaecf5fa1b6c007d019a9d14dfb4a77cc3039,29304627,eth_getCode@fork; EIP-1967 slots@fork; beacon/diamond resolution; deployment tx
