case_name,match_status,match_method,candidate_dates,selected_date
etnproduct,matched,exact_contract_basename,"[""20220804""]",2022-08-04
ddc,matched,exact_contract_basename,"[""20220828""]",2022-08-28
luckytiger,matched,exact_contract_basename,"[""20220824""]",2022-08-24
egd_finance,matched,exact_contract_basename,"[""20220807""]",2022-08-07
badguysbyrpf,matched,exact_contract_basename,"[""20220902""]",2022-09-02
xst_2,matched,frozen_date_override,[],2022-08-10
nomadbridge,matched,exact_contract_basename,"[""20220802""]",2022-08-02
bxh,matched,exact_contract_basename,"[""20220928""]",2022-09-28
dpc,matched,exact_contract_basename,"[""20220909""]",2022-09-09
shadowfi,matched,exact_contract_basename,"[""20220902""]",2022-09-02
atk,matched,exact_contract_basename,"[""20221012""]",2022-10-12
bego,matched,exact_contract_basename,"[""20221020""]",2022-10-20
babyswap,matched,exact_contract_basename,"[""20221001""]",2022-10-01
roi,matched,exact_contract_basename,"[""20220908""]",2022-09-08
thb,matched,exact_contract_basename,"[""20221001""]",2022-10-01
carrot,matched,exact_contract_basename,"[""20221010""]",2022-10-10
eflevervault,matched,exact_contract_basename,"[""20221014""]",2022-10-14
health,matched,exact_contract_basename,"[""20221020""]",2022-10-20
hpay,matched,exact_contract_basename,"[""20221018""]",2022-10-18
n00d,matched,exact_contract_basename,"[""20221026""]",2022-10-26
inuko,matched,exact_contract_basename,"[""20221014""]",2022-10-14
pltd,matched,exact_contract_basename,"[""20221018""]",2022-10-18
olympusdao,matched,exact_contract_basename,"[""20221021""]",2022-10-21
res,matched,exact_contract_basename,"[""20221006""]",2022-10-06
rl,matched,exact_contract_basename,"[""20221001""]",2022-10-01
res_2,matched,frozen_date_override,[],2022-10-06
uerii,matched,exact_contract_basename,"[""20221017""]",2022-10-17
templedao,matched,exact_contract_basename,"[""20221011""]",2022-10-11
vtf,matched,exact_contract_basename,"[""20221027""]",2022-10-27
ulme,matched,exact_contract_basename,"[""20221025""]",2022-10-25
teamfinance,matched,exact_contract_basename,"[""20221027""]",2022-10-27
ulme_2,matched,normalized_title_fallback,"[""20221025""]",2022-10-25
aur,matched,exact_contract_basename,"[""20221122""]",2022-11-22
annex,matched,exact_contract_basename,"[""20221119""]",2022-11-19
xavefinance,matched,exact_contract_basename,"[""20221009""]",2022-10-09
bdex,matched,exact_contract_basename,"[""20221105""]",2022-11-05
kashi,matched,exact_contract_basename,"[""20221108""]",2022-11-08
mbc_zzsh,matched,exact_contract_basename,"[""20221129""]",2022-11-29
brahtopg,matched,exact_contract_basename,"[""20221109""]",2022-11-09
num,matched,exact_contract_basename,"[""20221123""]",2022-11-23
sdao,matched,exact_contract_basename,"[""20221121""]",2022-11-21
dfx,matched,exact_contract_basename,"[""20221110""]",2022-11-10
moocakectx,matched,exact_contract_basename,"[""20221107""]",2022-11-07
sheepfarm2,matched,frozen_date_override,"[""20221116"", ""20230210""]",2022-11-16
seaman,matched,exact_contract_basename,"[""20221129""]",2022-11-29
aes,matched,exact_contract_basename,"[""20221207""]",2022-12-07
sheepfarm,matched,exact_contract_basename,"[""20221116""]",2022-11-16
uearnpool,matched,exact_contract_basename,"[""20221117""]",2022-11-17
jay,matched,exact_contract_basename,"[""20221229""]",2022-12-29
dfs,matched,exact_contract_basename,"[""20221230""]",2022-12-30
bgld,matched,exact_contract_basename,"[""20221212""]",2022-12-12
rubic,matched,exact_contract_basename,"[""20221225""]",2022-12-25
tifi,matched,exact_contract_basename,"[""20221210""]",2022-12-10
qixi,matched,exact_contract_basename,"[""20220803""]",2022-08-03
xcarnival,matched,exact_contract_basename,"[""20220626""]",2022-06-26
novo,matched,exact_contract_basename,"[""20220529""]",2022-05-29
xst,matched,exact_contract_basename,"[""20220810""]",2022-08-10
bbox,matched,exact_contract_basename,"[""20221205""]",2022-12-05
nmbplatform,matched,exact_contract_basename,"[""20221214""]",2022-12-14
rfb,matched,exact_contract_basename,"[""20221205""]",2022-12-05
shoco,matched,exact_contract_basename,"[""20230119""]",2023-01-19
qtn,matched,exact_contract_basename,"[""20230118""]",2023-01-18
tinu,matched,exact_contract_basename,"[""20230126""]",2023-01-26
bra,matched,exact_contract_basename,"[""20230110""]",2023-01-10
bevo,matched,exact_contract_basename,"[""20230130""]",2023-01-30
omniestate,matched,exact_contract_basename,"[""20230117""]",2023-01-17
gds,matched,exact_contract_basename,"[""20230103""]",2023-01-03
ufdao,matched,exact_contract_basename,"[""20230111""]",2023-01-11
upswing,matched,exact_contract_basename,"[""20230118""]",2023-01-18
roefinance,matched,exact_contract_basename,"[""20230111""]",2023-01-11
efvault,matched,exact_contract_basename,"[""20230224""]",2023-02-24
fdp,matched,exact_contract_basename,"[""20230206""]",2023-02-06
dexible,matched,exact_contract_basename,"[""20230217""]",2023-02-17
dyna,matched,exact_contract_basename,"[""20230222""]",2023-02-22
revertfinance,matched,exact_contract_basename,"[""20230218""]",2023-02-18
starlink,matched,exact_contract_basename,"[""20230217""]",2023-02-17
bigfi,matched,exact_contract_basename,"[""20230322""]",2023-03-22
sheep,matched,exact_contract_basename,"[""20230210""]",2023-02-10
orion,matched,exact_contract_basename,"[""20230203""]",2023-02-03
poolz,matched,exact_contract_basename,"[""20230315""]",2023-03-15
allbridge,matched,exact_contract_basename,"[""20230402""]",2023-04-02
dbw,matched,exact_contract_basename,"[""20230325""]",2023-03-25
axioma,matched,exact_contract_basename,"[""20230424""]",2023-04-24
olife,matched,exact_contract_basename,"[""20230419""]",2023-04-19
sushi_router,matched,exact_contract_basename,"[""20230409""]",2023-04-09
safemoon,matched,exact_contract_basename,"[""20230328""]",2023-03-28
swapos,matched,exact_contract_basename,"[""20230416""]",2023-04-16
yearnfinance,matched,exact_contract_basename,"[""20230413""]",2023-04-13
babydogecoin,matched,exact_contract_basename,"[""20230529""]",2023-05-29
silo_finance,matched,frozen_date_override,"[""20230427"", ""20250625""]",2023-04-27
bitpaidio,matched,exact_contract_basename,"[""20230513""]",2023-05-13
fapen,matched,exact_contract_basename,"[""20230529""]",2023-05-29
erc20tokenbank,matched,exact_contract_basename,"[""20230531""]",2023-05-31
cs,matched,exact_contract_basename,"[""20230524""]",2023-05-24
hodlcapital,matched,exact_contract_basename,"[""20230509""]",2023-05-09
melo,matched,exact_contract_basename,"[""20230506""]",2023-05-06
lw,matched,frozen_date_override,"[""20230512"", ""20240708""]",2023-05-12
multichaincapital,matched,exact_contract_basename,"[""20230509""]",2023-05-09
level,matched,exact_contract_basename,"[""20230502""]",2023-05-02
sellc02,matched,exact_contract_basename,"[""20230514""]",2023-05-14
neverfall,matched,exact_contract_basename,"[""20230503""]",2023-05-03
sellc,matched,exact_contract_basename,"[""20230511""]",2023-05-11
selltoken,matched,exact_contract_basename,"[""20230513""]",2023-05-13
snk,matched,exact_contract_basename,"[""20230510""]",2023-05-10
bunn,matched,exact_contract_basename,"[""20230621""]",2023-06-21
babydogecoin02,matched,exact_contract_basename,"[""20230621""]",2023-06-21
compounderfinance,matched,exact_contract_basename,"[""20230607""]",2023-06-07
cellframe,matched,exact_contract_basename,"[""20230601""]",2023-06-01
biswap,matched,exact_contract_basename,"[""20230630""]",2023-06-30
ddcoin,matched,exact_contract_basename,"[""20230601""]",2023-06-01
mimspell,matched,exact_contract_basename,"[""20230620""]",2023-06-20
myai,matched,exact_contract_basename,"[""20230630""]",2023-06-30
pawnfi,matched,exact_contract_basename,"[""20230617""]",2023-06-17
sellc03,matched,exact_contract_basename,"[""20230611""]",2023-06-11
depusdt_levusdc,matched,exact_contract_basename,"[""20230615""]",2023-06-15
shido_2,matched,normalized_title_fallback,"[""20230623""]",2023-06-23
un,matched,exact_contract_basename,"[""20230606""]",2023-06-06
vinu,matched,exact_contract_basename,"[""20230606""]",2023-06-06
sturdy,matched,exact_contract_basename,"[""20230612""]",2023-06-12
bno,matched,exact_contract_basename,"[""20230718""]",2023-07-18
apedao,matched,exact_contract_basename,"[""20230718""]",2023-07-18
bamboo,matched,exact_contract_basename,"[""20230704""]",2023-07-04
conic02,matched,exact_contract_basename,"[""20230722""]",2023-07-22
bao,matched,exact_contract_basename,"[""20230704""]",2023-07-04
conic,matched,exact_contract_basename,"[""20230721""]",2023-07-21
conic_2,matched,frozen_date_override,[],2023-07-21
gymnet,matched,exact_contract_basename,"[""20230731""]",2023-07-31
ffist,matched,exact_contract_basename,"[""20230720""]",2023-07-20
mintofinance,matched,exact_contract_basename,"[""20230723""]",2023-07-23
newfi,matched,exact_contract_basename,"[""20230717""]",2023-07-17
usdtstakingcontract28,matched,exact_contract_basename,"[""20230715""]",2023-07-15
utopia,matched,exact_contract_basename,"[""20230720""]",2023-07-20
palmswap,matched,exact_contract_basename,"[""20230724""]",2023-07-24
sut,matched,exact_contract_basename,"[""20230721""]",2023-07-21
wgpt,matched,exact_contract_basename,"[""20230712""]",2023-07-12
btc20,matched,exact_contract_basename,"[""20230819""]",2023-08-19
ehive,matched,exact_contract_basename,"[""20230821""]",2023-08-21
balancer,matched,exact_contract_basename,"[""20230827""]",2023-08-27
eac,matched,exact_contract_basename,"[""20230829""]",2023-08-29
earningfram,matched,exact_contract_basename,"[""20230809""]",2023-08-09
leetswap,matched,exact_contract_basename,"[""20230801""]",2023-08-01
uwerx,matched,exact_contract_basename,"[""20230802""]",2023-08-02
bfctoken,matched,exact_contract_basename,"[""20230909""]",2023-09-09
floordao,matched,exact_contract_basename,"[""20230905""]",2023-09-05
heavensgate,matched,exact_contract_basename,"[""20230905""]",2023-09-05
kub_split,matched,exact_contract_basename,"[""20230924""]",2023-09-24
jumpfarm,matched,exact_contract_basename,"[""20230905""]",2023-09-05
quantumwn,matched,exact_contract_basename,"[""20230905""]",2023-09-05
uniclynft,matched,exact_contract_basename,"[""20230916""]",2023-09-16
bh,matched,exact_contract_basename,"[""20231011""]",2023-10-11
depayrouter,matched,exact_contract_basename,"[""20231005""]",2023-10-05
astrid,matched,exact_contract_basename,"[""20231028""]",2023-10-28
hopelend,matched,exact_contract_basename,"[""20231018""]",2023-10-18
openleverage,matched,exact_contract_basename,"[""20231022""]",2023-10-22
zs,matched,exact_contract_basename,"[""20231008""]",2023-10-08
wiselending,matched,exact_contract_basename,"[""20231013""]",2023-10-13
pseudoeth,matched,exact_contract_basename,"[""20231008""]",2023-10-08
ktaf,matched,exact_contract_basename,"[""20231019""]",2023-10-19
3913,matched,exact_contract_basename,"[""20231102""]",2023-11-02
burntbubba,matched,exact_contract_basename,"[""20231129""]",2023-11-29
fiberrouter,matched,exact_contract_basename,"[""20231128""]",2023-11-28
carolprotocol,matched,exact_contract_basename,"[""20231130""]",2023-11-30
ehx,matched,exact_contract_basename,"[""20231115""]",2023-11-15
mahalend,matched,exact_contract_basename,"[""20231111""]",2023-11-11
swampfinance,matched,exact_contract_basename,"[""20231101""]",2023-11-01
raft,matched,exact_contract_basename,"[""20231110""]",2023-11-10
rbalancer,matched,exact_contract_basename,"[""20231107""]",2023-11-07
shibatoken,matched,exact_contract_basename,"[""20231117""]",2023-11-17
weco,matched,exact_contract_basename,"[""20231116""]",2023-11-16
thenftv2,matched,exact_contract_basename,"[""20231125""]",2023-11-25
onyxprotocol,matched,exact_contract_basename,"[""20231101""]",2023-11-01
bct,matched,exact_contract_basename,"[""20231209""]",2023-12-09
trustpad,matched,exact_contract_basename,"[""20231106""]",2023-11-06
grok,matched,exact_contract_basename,"[""20231110""]",2023-11-10
goodcompound,matched,exact_contract_basename,"[""20231211""]",2023-12-11
bearndao,matched,exact_contract_basename,"[""20231205""]",2023-12-05
hypr,matched,exact_contract_basename,"[""20231213""]",2023-12-13
floorprotocol,matched,exact_contract_basename,"[""20231217""]",2023-12-17
xai,matched,exact_contract_basename,"[""20231115""]",2023-11-15
mamo,matched,exact_contract_basename,"[""20231205""]",2023-12-05
gooddollar,matched,exact_contract_basename,"[""20231216""]",2023-12-16
kest,matched,exact_contract_basename,"[""20231216""]",2023-12-16
nfttrader,matched,exact_contract_basename,"[""20231216""]",2023-12-16
pineprotocol,matched,exact_contract_basename,"[""20231222""]",2023-12-22
cfc,matched,exact_contract_basename,"[""20230615""]",2023-06-15
shido,matched,exact_contract_basename,"[""20230623""]",2023-06-23
paraspace,matched,exact_contract_basename,"[""20230317""]",2023-03-17
allbridge_2,matched,normalized_title_fallback,"[""20230402""]",2023-04-02
lusd,matched,exact_contract_basename,"[""20230707""]",2023-07-07
gss,matched,exact_contract_basename,"[""20230824""]",2023-08-24
xsdwethpool,matched,exact_contract_basename,"[""20230926""]",2023-09-26
laeeb,matched,exact_contract_basename,"[""20231030""]",2023-10-30
ais,matched,exact_contract_basename,"[""20231129""]",2023-11-29
hct,matched,exact_contract_basename,"[""20230907""]",2023-09-07
lqdx_alert,matched,exact_contract_basename,"[""20240110""]",2024-01-10
bmizapper,matched,exact_contract_basename,"[""20240117""]",2024-01-17
mic,matched,exact_contract_basename,"[""20240102""]",2024-01-02
barleyfinance,matched,exact_contract_basename,"[""20240128""]",2024-01-28
mimspell2,matched,exact_contract_basename,"[""20240130""]",2024-01-30
peapodsfinance,matched,frozen_date_override,"[""20240129"", ""20250208""]",2024-01-29
wiselending02,matched,exact_contract_basename,"[""20240112""]",2024-01-12
socketgateway,matched,exact_contract_basename,"[""20240112""]",2024-01-12
wiselending03,matched,frozen_date_override,"[""20231013"", ""20240112""]",2024-01-12
xsij,matched,exact_contract_basename,"[""20240130""]",2024-01-30
adc,matched,exact_contract_basename,"[""20240202""]",2024-02-02
affinedefi,matched,exact_contract_basename,"[""20240201""]",2024-02-01
compounduni,matched,exact_contract_basename,"[""20240223""]",2024-02-23
burnsdefi,matched,exact_contract_basename,"[""20240205""]",2024-02-05
bob,matched,exact_contract_basename,"[""20231217""]",2023-12-17
blueberryprotocol,matched,exact_contract_basename,"[""20240223""]",2024-02-23
deeznutz404,matched,exact_contract_basename,"[""20240221""]",2024-02-21
bzx2,matched,frozen_date_override,"[""20200912""]",2023-12-02
game,matched,exact_contract_basename,"[""20240211""]",2024-02-11
dualpools,matched,exact_contract_basename,"[""20240215""]",2024-02-15
miner_bsc,matched,exact_contract_basename,"[""20240213""]",2024-02-13
particletrade,matched,exact_contract_basename,"[""20240216""]",2024-02-16
pandora,matched,exact_contract_basename,"[""20240208""]",2024-02-08
ruggedart,matched,exact_contract_basename,"[""20240219""]",2024-02-19
miner,matched,frozen_date_override,"[""20240215""]",2024-02-15
seneca,matched,exact_contract_basename,"[""20240228""]",2024-02-28
alp,matched,exact_contract_basename,"[""20240306""]",2024-03-06
ethfin,matched,exact_contract_basename,"[""20240329""]",2024-03-29
ark,matched,exact_contract_basename,"[""20240324""]",2024-03-24
bbt,matched,exact_contract_basename,"[""20240312""]",2024-03-12
binemon,matched,exact_contract_basename,"[""20240311""]",2024-03-11
juice,matched,exact_contract_basename,"[""20240309""]",2024-03-09
tgbs,matched,exact_contract_basename,"[""20240306""]",2024-03-06
atm,matched,frozen_date_override,"[""20240401"", ""20260604""]",2024-04-01
chaingefinance,matched,exact_contract_basename,"[""20240415""]",2024-04-15
fil314,matched,exact_contract_basename,"[""20240412""]",2024-04-12
gfa,matched,exact_contract_basename,"[""20240415""]",2024-04-15
hackathon,matched,exact_contract_basename,"[""20240414""]",2024-04-14
hoppyfrogerc,matched,exact_contract_basename,"[""20240402""]",2024-04-02
hedgeyfinance,matched,exact_contract_basename,"[""20240419""]",2024-04-19
ngfs,matched,exact_contract_basename,"[""20240425""]",2024-04-25
satx,matched,exact_contract_basename,"[""20240416""]",2024-04-16
squid,matched,exact_contract_basename,"[""20240408""]",2024-04-08
ups,matched,exact_contract_basename,"[""20240409""]",2024-04-09
openleverage2,matched,exact_contract_basename,"[""20240401""]",2024-04-01
wsm,matched,exact_contract_basename,"[""20240404""]",2024-04-04
z123,matched,exact_contract_basename,"[""20240422""]",2024-04-22
yiedl,matched,exact_contract_basename,"[""20240424""]",2024-04-24
burner,matched,exact_contract_basename,"[""20240522""]",2024-05-22
excommunity,matched,exact_contract_basename,"[""20240528""]",2024-05-28
sumermoney,matched,exact_contract_basename,"[""20240412""]",2024-04-12
metadragon,matched,exact_contract_basename,"[""20240529""]",2024-05-29
gpu,matched,exact_contract_basename,"[""20240508""]",2024-05-08
liquiditytokens,matched,exact_contract_basename,"[""20240531""]",2024-05-31
redkeyscoin,matched,exact_contract_basename,"[""20240527""]",2024-05-27
normie,matched,exact_contract_basename,"[""20240526""]",2024-05-26
osn,matched,exact_contract_basename,"[""20240506""]",2024-05-06
tsuru,matched,exact_contract_basename,"[""20240510""]",2024-05-10
apemaga,matched,exact_contract_basename,"[""20240627""]",2024-06-27
crb2,matched,exact_contract_basename,"[""20240616""]",2024-06-16
incufi,matched,exact_contract_basename,"[""20240618""]",2024-06-18
ncd,matched,exact_contract_basename,"[""20240604""]",2024-06-04
tradeonorion,matched,exact_contract_basename,"[""20240528""]",2024-05-28
dyson_money,matched,exact_contract_basename,"[""20240617""]",2024-06-17
steamswap,matched,exact_contract_basename,"[""20240606""]",2024-06-06
wifcoin_eth,matched,exact_contract_basename,"[""20240616""]",2024-06-16
jokinthebox,matched,exact_contract_basename,"[""20240611""]",2024-06-11
minestm,matched,exact_contract_basename,"[""20240606""]",2024-06-06
will,matched,exact_contract_basename,"[""20240628""]",2024-06-28
lifiprotocol,matched,exact_contract_basename,"[""20240716""]",2024-07-16
uwulend_first,matched,exact_contract_basename,"[""20240610""]",2024-06-10
lw2,matched,frozen_date_override,"[""20230512"", ""20240708""]",2024-07-08
uwulend_second,matched,exact_contract_basename,"[""20240610""]",2024-06-10
doughfina,matched,exact_contract_basename,"[""20240712""]",2024-07-12
mrp,matched,exact_contract_basename,"[""20240702""]",2024-07-02
defiplaza,matched,exact_contract_basename,"[""20240705""]",2024-07-05
sbt,matched,exact_contract_basename,"[""20240711""]",2024-07-11
yodlrouter,matched,exact_contract_basename,"[""20240814""]",2024-08-14
ompxcontract,matched,exact_contract_basename,"[""20240816""]",2024-08-16
ivestdao,matched,exact_contract_basename,"[""20240812""]",2024-08-12
spectra_finance,matched,exact_contract_basename,"[""20240724""]",2024-07-24
zenterest,matched,exact_contract_basename,"[""20240816""]",2024-08-16
convergence,matched,exact_contract_basename,"[""20240801""]",2024-08-01
bankroll,matched,exact_contract_basename,"[""20240923""]",2024-09-23
caterpillar_coin_cut,matched,exact_contract_basename,"[""20240910""]",2024-09-10
otseastaking,matched,exact_contract_basename,"[""20240913""]",2024-09-13
bedrock_defi,matched,exact_contract_basename,"[""20240926""]",2024-09-26
aizpttoken,matched,exact_contract_basename,"[""20241005""]",2024-10-05
onyxdao,matched,exact_contract_basename,"[""20240926""]",2024-09-26
firetoken,matched,exact_contract_basename,"[""20241001""]",2024-10-01
hydt,matched,exact_contract_basename,"[""20241010""]",2024-10-10
sashatoken,matched,exact_contract_basename,"[""20241006""]",2024-10-06
morphoblue,matched,exact_contract_basename,"[""20241013""]",2024-10-13
penpiexyzio,matched,exact_contract_basename,"[""20240903""]",2024-09-03
vista,matched,exact_contract_basename,"[""20241022""]",2024-10-22
labubu,matched,exact_contract_basename,"[""20241210""]",2024-12-10
pledge,matched,exact_contract_basename,"[""20241203""]",2024-12-03
veth,matched,exact_contract_basename,"[""20241114""]",2024-11-14
gain,matched,exact_contract_basename,"[""20240221""]",2024-02-21
it,matched,exact_contract_basename,"[""20240313""]",2024-03-13
cloberdex,matched,exact_contract_basename,"[""20241210""]",2024-12-10
98_token,matched,exact_contract_basename,"[""20250104""]",2025-01-04
ast,matched,exact_contract_basename,"[""20250121""]",2025-01-21
ipc,matched,exact_contract_basename,"[""20250107""]",2025-01-07
xbridge,matched,exact_contract_basename,"[""20240424""]",2024-04-24
idols_nft,matched,exact_contract_basename,"[""20250114""]",2025-01-14
j_pulsepot,matched,exact_contract_basename,"[""20250110""]",2025-01-10
lp_mine,matched,exact_contract_basename,"[""20250108""]",2025-01-08
laura_token,matched,exact_contract_basename,"[""20250101""]",2025-01-01
mosca2,matched,exact_contract_basename,"[""20250113""]",2025-01-13
roulette_pot_v2,matched,exact_contract_basename,"[""20250111""]",2025-01-11
mosca,matched,exact_contract_basename,"[""20250106""]",2025-01-06
unilend,matched,exact_contract_basename,"[""20250112""]",2025-01-12
sorra_staking,matched,exact_contract_basename,"[""20250104""]",2025-01-04
hegic_options,matched,exact_contract_basename,"[""20250223""]",2025-02-23
bbx_token,matched,exact_contract_basename,"[""20250320""]",2025-03-20
alkimiya_io,matched,exact_contract_basename,"[""20250328""]",2025-03-28
dcf_token,matched,exact_contract_basename,"[""20250318""]",2025-03-18
h2o,matched,exact_contract_basename,"[""20250314""]",2025-03-14
one_inch_fusion_v1_settlement_hack,matched,exact_contract_basename,"[""20250305""]",2025-03-05
uni,matched,exact_contract_basename,"[""20250307""]",2025-03-07
pump,matched,exact_contract_basename,"[""20250304""]",2025-03-04
yzi_ai_token,matched,exact_contract_basename,"[""20250327""]",2025-03-27
btnft,matched,exact_contract_basename,"[""20250418""]",2025-04-18
lifeprotocol,matched,exact_contract_basename,"[""20250426""]",2025-04-26
w_key_dao,matched,exact_contract_basename,"[""20250316""]",2025-03-16
irys_ai,matched,exact_contract_basename,"[""20250520""]",2025-05-20
krc_token_pair,matched,exact_contract_basename,"[""20250518""]",2025-05-18
ydt_token,matched,exact_contract_basename,"[""20250526""]",2025-05-26
aave_boost,matched,exact_contract_basename,"[""20250612""]",2025-06-12
usual_money,matched,exact_contract_basename,"[""20250527""]",2025-05-27
bankroll_network,matched,frozen_date_override,"[""20250619""]",2025-06-19
bankroll_stack,matched,exact_contract_basename,"[""20250619""]",2025-06-19
gangsterfinance,matched,exact_contract_basename,"[""20250620""]",2025-06-20
gradient_maker_pool,matched,exact_contract_basename,"[""20250623""]",2025-06-23
resupply_fi,matched,exact_contract_basename,"[""20250626""]",2025-06-26
fpc,matched,exact_contract_basename,"[""20250702""]",2025-07-02
meta_pool,matched,exact_contract_basename,"[""20250617""]",2025-06-17
multicall_with_eth,matched,exact_contract_basename,"[""20250726""]",2025-07-26
rant_token,matched,exact_contract_basename,"[""20250705""]",2025-07-05
swapp_staking,matched,exact_contract_basename,"[""20250724""]",2025-07-24
stepp2p,matched,exact_contract_basename,"[""20250720""]",2025-07-20
abcc_app,matched,exact_contract_basename,"[""20250823""]",2025-08-23
grizzifi,matched,exact_contract_basename,"[""20250813""]",2025-08-13
hexotic,matched,exact_contract_basename,"[""20250831""]",2025-08-31
multicall_with_xera,matched,exact_contract_basename,"[""20250820""]",2025-08-20
pdz,matched,exact_contract_basename,"[""20250815""]",2025-08-15
size_credit,matched,exact_contract_basename,"[""20250815""]",2025-08-15
mim_spell3,matched,exact_contract_basename,"[""20251004""]",2025-10-04
prxvt,matched,exact_contract_basename,"[""20260101""]",2026-01-01
truebit,matched,exact_contract_basename,"[""20260109""]",2026-01-09
mttoken,matched,exact_contract_basename,"[""20260112""]",2026-01-12
synaplogic,matched,exact_contract_basename,"[""20260120""]",2026-01-20
makina,matched,exact_contract_basename,"[""20260120""]",2026-01-20
moonwell,matched,frozen_date_override,"[""20251104"", ""20260215""]",2025-11-04
laxo_token,matched,exact_contract_basename,"[""20260222""]",2026-02-22
curve_llamalend,matched,exact_contract_basename,"[""20260302""]",2026-03-02
alkemi_earn,matched,exact_contract_basename,"[""20260310""]",2026-03-10
venus_the,matched,exact_contract_basename,"[""20260315""]",2026-03-15
futureswap,matched,exact_contract_basename,"[""20260110""]",2026-01-10
est,matched,exact_contract_basename,"[""20260327""]",2026-03-27
